MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        21.50,        21.00,        22.00,        20.95,        21.75,                   384300.00,18000, ,        42.00,        20.75
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       271.15,       271.15,       273.35,       269.00,       269.00,                  1625025.00,6000, ,       339.95,       224.00
N,SM,AERON,AERON COMPOSITE LIMITED,       160.00,       160.00,       162.50,       155.15,       156.80,                  5197700.00,33000, ,       202.20,       118.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        63.00,        65.00,        65.00,        61.10,        61.75,                  8728000.00,140000, ,       127.50,        61.10
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        50.70,        50.25,        52.90,        50.20,        52.90,                   463725.00,9000, ,       103.95,        40.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       112.20,       115.50,       115.50,       112.40,       113.20,                  1363500.00,12000, ,       147.70,       109.60
N,SM,AGNI,AGNI GREEN POWER LTD,        33.00,        33.00,        33.15,        32.50,        33.05,                  1070375.00,32500, ,        84.70,        31.60
N,SM,AGUL,A G UNIVERSAL LIMITED,        52.20,        52.20,        54.80,        52.20,        54.80,                   214000.00,4000, ,        85.00,        47.50
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       496.75,       500.00,       521.45,       500.00,       520.80,                  9055760.00,17600, ,       729.95,       240.10
N,SM,AISL,ANI INTEGRATED SERV LTD.,       139.60,       132.70,       133.25,       132.65,       132.65,                   797550.00,6000, ,       218.45,        65.70
N,SM,AKIKO,AKIKO GLOBAL SERVICES L,        82.20,        82.20,        82.20,        82.20,        82.20,                   131520.00,1600, ,       109.00,        62.80
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       654.45,       662.00,       687.15,       662.00,       687.15,                 19364360.00,28400, ,      1131.70,       235.00
N,SM,ALUWIND,ALUWIND ARCHITECTURAL LTD,        69.00,        69.00,        69.95,        67.50,        69.50,                  1558650.00,22500, ,        82.40,        39.50
N,SM,AMBEY,AMBEY LABORATORIES LTD,        57.20,        60.00,        60.00,        57.35,        57.95,                   586200.00,10000, ,        97.20,        48.00
