MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        17.50,        17.25,        17.30,        17.05,        17.10,                   309700.00,18000, ,        41.50,        16.95
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       229.35,       226.55,       229.00,       226.55,       228.00,                  1818800.00,8000, ,       339.95,       224.00
N,SM,AERON,AERON COMPOSITE LIMITED,       127.70,       125.70,       127.90,       122.20,       126.95,                  3627500.00,29000, ,       202.20,       118.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        65.50,        65.50,        65.50,        65.50,        65.50,                   131000.00,2000, ,       127.50,        60.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,        97.00,        94.75,       105.85,        93.00,       101.00,                  3469440.00,34800, ,       147.70,        93.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        53.15,        54.00,        54.00,        50.50,        50.50,                   384450.00,7500, ,       115.20,        32.00
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       448.40,       448.40,       459.75,       435.05,       457.10,                  8938840.00,20000, ,       729.95,       240.10
N,SM,AISL,ANI INTEGRATED SERV LTD.,       131.90,       138.05,       138.05,       136.00,       136.95,                   330000.00,2400, ,       218.45,        65.70
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,       104.50,       104.00,       104.50,        99.30,        99.30,                  8656800.00,87000, ,       191.90,        73.00
N,SM,AKIKO,AKIKO GLOBAL SERVICES L,        71.75,        70.00,        71.00,        68.10,        69.55,                  1438640.00,20800, ,       109.00,        62.80
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       436.65,       432.00,       432.00,       412.05,       416.40,                  7416640.00,17600, ,       633.00,       215.10
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       679.95,       672.65,       672.65,       650.00,       652.75,                 20431640.00,31000, ,      1131.70,       235.00
N,SM,ALUWIND,ALUWIND ARCHITECTURAL LTD,        62.00,        61.00,        62.00,        61.00,        62.00,                   370500.00,6000, ,        82.40,        39.50
N,SM,AMBEY,AMBEY LABORATORIES LTD,        53.00,        51.15,        54.45,        51.15,        54.05,                   742800.00,14000, ,        97.20,        48.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       103.45,        98.40,       103.00,        98.30,       103.00,                   791750.00,8000, ,       143.85,        43.55
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        79.00,        80.00,        84.95,        80.00,        84.95,                   263920.00,3200, ,       110.00,        60.50
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       302.00,       300.00,       302.00,       298.00,       302.00,                   479240.00,1600, ,       607.00,       241.50
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       308.90,       306.45,       308.95,       301.05,       303.30,                  5941750.00,19500, ,       494.90,       270.00
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        23.30,        23.20,        23.25,        23.00,        23.20,                  1854500.00,80000, ,        27.80,        16.20
N,SM,APEXECO,APEX ECOTECH LIMITED,       115.15,       114.00,       114.95,       111.25,       113.50,                  2346320.00,20800, ,       169.00,       111.25
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       425.15,       415.00,       420.00,       405.00,       415.70,                 17540137.50,42750, ,       669.90,       196.00
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        72.85,        72.60,        72.60,        72.60,        72.60,                   145200.00,2000, ,       115.00,        70.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       102.00,       102.00,       121.00,        96.00,       107.10,                  1453750.00,14000, ,       329.95,        89.00
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       206.05,       210.00,       210.00,       210.00,       210.00,                   168000.00,800, ,       252.40,       117.00
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,       105.00,       103.00,       103.00,       103.00,       103.00,                   164800.00,1600, ,       164.00,        53.10
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        83.00,        78.25,        82.95,        78.25,        82.00,                  1055600.00,13000, ,       194.25,        75.10
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        59.00,        59.00,        59.50,        59.00,        59.50,                   189600.00,3200, ,       110.00,        57.10
