MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        37.30,        38.00,        39.75,        38.00,        39.55,                  1250300.00,32000, ,        60.00,        35.65
N,SM,ABINFRA,A B INFRABUILD LIMITED,        63.00,        63.00,        64.00,        63.00,        64.00,                 18288000.00,288000, ,        64.00,        16.65
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       277.00,       277.00,       278.95,       271.00,       274.55,                 15606450.00,57000, ,       364.00,       251.10
N,SM,ACCORD,ACCORD SYNERGY LIMITED,        31.05,        29.50,        29.50,        29.50,        29.50,                    59000.00,2000, ,        34.35,        21.50
N,SM,ACSAL,ARVIND AND COMPANY,        53.05,        52.00,        52.00,        50.40,        51.55,                  1859250.00,36000, ,        84.00,        50.40
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        51.00,        51.00,        52.70,        51.00,        52.70,                   311100.00,6000, ,        68.00,        30.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        37.05,        37.95,        38.35,        37.95,        38.15,                   457800.00,12000, ,        71.65,        26.05
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        95.80,        93.00,        94.45,        91.05,        91.60,                 14918700.00,162000, ,       147.80,        62.00
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       260.95,       257.35,       265.00,       251.10,       259.90,                 15555840.00,60000, ,       335.40,        83.05
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       311.65,       311.65,       343.00,       311.65,       339.75,                 74397900.00,228000, ,       419.75,       291.50
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       114.00,       110.00,       115.00,       110.00,       115.00,                   335000.00,3000, ,       175.50,        81.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        57.00,        58.00,        58.00,        57.10,        57.50,                   346100.00,6000, ,        69.60,        33.00
