MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        27.70,        27.60,        27.60,        27.25,        27.30,                   493000.00,18000, ,        51.95,        25.00
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,       287.10,       301.45,       301.45,       300.15,       301.45,                  3013825.00,10000, ,       386.00,        81.70
N,SM,ABINFRA,A B INFRABUILD LIMITED,        85.45,        83.25,        85.50,        80.50,        85.00,                  3366200.00,40000, ,        85.90,        27.55
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       270.10,       270.10,       270.10,       261.55,       261.95,                 21692300.00,82000, ,       425.00,       190.00
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       276.35,       280.00,       280.00,       273.15,       276.85,                  5238100.00,19000, ,       364.00,       224.00
N,SM,ACCORD,ACCORD SYNERGY LIMITED,        32.40,        33.90,        33.95,        33.00,        33.00,                   267700.00,8000, ,        34.00,        23.65
N,SM,ACSAL,ARVIND AND COMPANY,       103.60,       108.75,       108.75,       108.75,       108.75,                   652500.00,6000, ,       108.75,        38.05
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        75.90,        78.40,        78.40,        72.40,        73.70,                 19891900.00,270000, ,       127.50,        72.40
N,SM,AGNI,AGNI GREEN POWER LTD,        44.00,        43.60,        44.20,        43.40,        44.20,                  1206875.00,27500, ,        84.70,        22.85
N,SM,AGUL,A G UNIVERSAL LIMITED,        71.05,        69.05,        69.05,        67.50,        67.50,                  1095500.00,16000, ,       119.95,        47.50
N,SM,AISL,ANI INTEGRATED SERV LTD.,       182.40,       185.00,       191.50,       180.00,       189.95,                 10620300.00,56400, ,       191.50,        55.10
N,SM,AKIKO,AKIKO GLOBAL SERVICES L,        80.40,        82.90,        82.90,        78.50,        79.00,                  3437760.00,43200, ,        98.00,        62.80
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       442.50,       444.00,       452.95,       432.00,       435.30,                 18682980.00,42800, ,       512.80,       144.25
N,SM,AMBEY,AMBEY LABORATORIES LTD,        70.40,        70.40,        70.40,        66.00,        67.20,                  6680300.00,98000, ,        97.20,        60.90
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       111.80,       111.80,       113.95,       106.25,       108.40,                  2175100.00,20000, ,       143.85,        43.55
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        75.00,        78.00,        78.00,        78.00,        78.00,                   124800.00,1600, ,        97.00,        60.50
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       419.20,       419.20,       423.00,       412.00,       419.95,                176299425.00,420500, ,       494.90,       251.65
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,        61.30,        62.50,        62.50,        61.00,        61.00,                   988000.00,16000, ,        83.00,        58.00
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,       108.10,       108.50,       110.40,       101.25,       103.00,                  5679200.00,54000, ,       124.65,        70.15
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       139.30,       139.30,       143.00,       137.25,       140.70,                  2675450.00,19000, ,       329.95,       100.05
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,       106.15,       107.00,       112.85,       106.15,       106.15,                  2588400.00,24000, ,       124.70,        53.10
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,       139.45,       141.00,       141.00,       132.50,       133.30,                  7771950.00,58000,XO,       194.25,       132.10
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        78.40,        80.80,        81.00,        76.50,        76.95,                  2810400.00,36000, ,       132.00,        56.25
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       395.00,       394.00,       394.00,       390.00,       390.00,                   587000.00,1500, ,       432.75,       188.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        83.00,        82.05,        82.95,        81.25,        81.50,                  1177040.00,14400, ,       118.00,        59.25
N,SM,AVPINFRA,AVP INFRACON LIMITED,       171.10,       167.05,       170.25,       161.50,       164.30,                 16312800.00,97600, ,       192.00,        63.00
N,SM,BABAFP,BABA FOOD PROCESSING,        54.20,        54.50,        57.00,        54.50,        56.25,                  2795520.00,49600, ,        80.70,        48.20
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       376.00,       374.00,       374.00,       364.05,       373.50,                  1113787.50,3000, ,       416.80,       143.10
N,SM,BALCO,SOLVE PLASTIC PRODUCTS L,        64.15,        62.75,        64.75,        62.50,        63.55,                  1969800.00,31200, ,       112.45,        61.00
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        81.90,        81.30,        81.30,        80.15,        80.40,                   711160.00,8800,XO,       183.00,        73.10
N,SM,BEACON,BEACON TRUSTEESHIP LTD,       110.25,       111.05,       113.75,       108.20,       111.35,                  4663700.00,42000, ,       151.00,        84.15
N,SM,BETA,BETA DRUGS LIMITED,      1816.65,      1839.95,      1839.95,      1762.00,      1816.00,                 10278145.00,5700, ,      1985.00,       892.35
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1404.65,      1391.00,      1405.00,      1390.00,      1398.65,                  1397250.00,1000,XO,      1935.00,      1276.00
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       268.00,       268.00,       273.00,       263.00,       272.60,                  2565760.00,9600, ,       381.40,       186.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       141.90,       148.95,       148.95,       143.75,       148.95,                  4435120.00,30000, ,       234.60,        74.00
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,       113.65,       113.65,       113.65,       108.10,       110.00,                  8277920.00,75200, ,       184.65,       107.25
