MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        49.90,        48.15,        48.75,        48.15,        48.75,                   387600.00,8000, ,        61.35,        34.15
N,SM,ABINFRA,A B INFRABUILD LIMITED,        13.05,        13.70,        13.70,        13.70,        13.70,                    54800.00,4000, ,        18.75,         9.40
N,SM,AGNI,AGNI GREEN POWER LTD,        27.05,        28.40,        28.40,        27.15,        28.40,                 11062000.00,390000, ,        42.15,        17.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        35.05,        36.35,        36.50,        36.35,        36.50,                   218550.00,6000, ,        36.90,        19.70
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       111.60,       112.00,       112.00,       107.50,       109.25,                  5935120.00,54400, ,       133.25,       107.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        95.50,        95.00,        95.00,        90.05,        91.00,                   595280.00,6400, ,       127.05,        78.50
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       187.30,       189.75,       189.90,       178.00,       180.00,                  7888800.00,43200, ,       218.90,       178.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       133.20,       137.00,       145.00,       137.00,       141.10,                 26752400.00,190000, ,       172.95,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,        72.00,        73.35,        73.35,        71.70,        71.70,                  5677350.00,78000, ,        79.80,        58.20
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       133.90,       133.50,       150.00,       130.00,       145.85,                  8345360.00,59200, ,       152.50,       103.00
N,SM,ASCOM,ASCOM LEASIN & INVEST LTD,       267.35,       280.70,       280.70,       280.70,       280.70,                   561400.00,2000, ,       280.70,        33.40
N,SM,ATALREAL,ATAL REALTECH LIMITED,        79.15,        78.60,        80.00,        77.00,        79.35,                 14392320.00,182400, ,       181.00,        50.00
N,SM,AVG,AVG LOGISTICS LIMITED,       110.00,       121.00,       121.00,       116.00,       116.50,                   424800.00,3600, ,       147.35,        51.25
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       121.40,       120.00,       120.85,       117.30,       118.65,                  3943800.00,33000, ,       140.00,        97.00
N,SM,BETA,BETA DRUGS LIMITED,       650.00,       650.00,       674.95,       650.00,       666.65,                  2363970.00,3600, ,      1024.40,       486.35
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       730.00,       730.00,       730.00,       720.00,       720.00,                   362500.00,500, ,      1187.20,       592.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       461.35,       456.00,       456.00,       438.30,       438.30,                  1780720.00,4000, ,      2325.00,       135.00
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         8.30,         8.70,         8.70,         8.70,         8.70,                  3236400.00,372000, ,         9.00,         3.90
N,SM,BTML,BODHI TREE MULTIMEDIA LTD,       160.00,       162.95,       168.00,       162.95,       168.00,                 11008800.00,66000, ,       324.45,        53.15
N,SM,CLOUD,VARANIUM CLOUD LIMITED,      1457.10,      1460.00,      1488.00,      1384.25,      1384.25,                 85732900.00,61500, ,      1602.40,       146.50
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       208.10,       231.00,       231.00,       217.50,       217.50,                   717880.00,3200, ,       343.85,       188.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        25.05,        26.30,        26.30,        26.30,        26.30,                  1139552.70,43329, ,        26.30,         6.80
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       501.10,       505.00,       505.00,       500.00,       501.60,                  1504875.00,3000, ,       544.95,        41.50
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,        20.40,        21.40,        21.40,        21.35,        21.40,                   898200.00,42000, ,        24.60,         9.65
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        59.05,        59.05,        59.10,        59.05,        59.10,                   354450.00,6000, ,        73.50,        33.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        35.35,        35.50,        36.50,        35.20,        36.30,                  1868000.00,52000, ,        41.50,        35.10
N,SM,DRSDILIP,DRS DILIP ROADLINES LTD.,        74.50,        89.40,        89.40,        74.50,        74.50,                   739040.00,9600, ,        89.40,        74.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,       180.60,       172.00,       172.00,       171.60,       171.60,                   644250.00,3750, ,       489.00,        91.00
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,        20.10,        19.90,        20.95,        19.90,        20.70,                   162400.00,8000, ,        36.25,        13.00
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       272.00,       275.00,       285.60,       272.00,       285.60,                   998520.00,3600, ,       345.15,       145.05
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       113.00,       112.10,       112.10,       110.00,       110.00,                  1557100.00,14000, ,       147.65,        88.00
N,SM,FELIX,FELIX INDUSTRIES LTD.,       120.55,       126.55,       126.55,       126.55,       126.55,                  1518600.00,12000, ,       126.55,        12.35
N,SM,FIDEL,FIDEL SOFTECH LIMITED,        71.50,        73.00,        73.45,        70.25,        70.50,                  2572050.00,36000, ,        95.00,        51.70
N,SM,FOCE,FOCE INDIA LIMITED,       719.00,       711.00,       714.50,       711.00,       712.90,                  4277400.00,6000, ,       721.00,       197.00
N,SM,FROG,FROG CELLSAT LIMITED,       217.90,       221.95,       221.95,       211.00,       216.85,                  2937680.00,13600, ,       297.00,       205.05
N,SM,GICL,GLOBE INTL CARRIERS LTD,        45.70,        43.50,        43.50,        43.50,        43.50,                  4176000.00,96000, ,       104.00,        21.35
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       234.00,       245.70,       245.70,       245.70,       245.70,                   294840.00,1200, ,       310.00,        95.00
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         9.90,        10.35,        10.35,        10.35,        10.35,                  1117800.00,108000, ,       170.50,         9.45
