MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        38.75,        38.50,        38.50,        37.00,        37.50,                   678000.00,18000, ,        41.00,        30.00
N,SM,AGNI,AGNI GREEN POWER LTD,        27.30,        27.50,        27.50,        25.95,        26.00,                  1176500.00,45000, ,        42.15,        17.00
N,SM,AHIMSA,AHIMSA INDUSTRIES LTD.,         9.10,        10.00,        10.00,        10.00,        10.00,                    60000.00,6000, ,        16.20,         7.95
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        47.50,        47.00,        49.85,        47.00,        49.80,                  1171200.00,24000, ,        54.65,        22.00
N,SM,AISL,ANI INTEGRATED SERV LTD.,        56.05,        56.15,        57.95,        56.05,        57.95,                   204180.00,3600, ,        60.25,        37.05
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       108.75,       108.00,       108.00,       107.00,       107.00,                   859120.00,8000, ,       133.25,        83.05
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       149.35,       141.90,       156.75,       141.90,       156.75,                   597300.00,4000, ,       175.50,        70.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       220.20,       220.00,       220.10,       220.00,       220.05,                  2112300.00,9600, ,       248.00,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       255.00,       255.00,       262.00,       255.00,       259.95,                  2572750.00,10000, ,       277.50,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,        79.25,        80.00,        81.00,        77.25,        77.25,                  1660500.00,21000, ,        97.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,        96.20,        96.10,        96.10,        96.10,        96.10,                   153760.00,1600, ,       152.50,        95.00
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        56.15,        57.45,        57.50,        55.95,        57.00,                  1361040.00,24000, ,        83.00,        48.25
N,SM,ASCOM,ASCOM LEASIN & INVEST LTD,       319.20,       303.25,       303.25,       303.25,       303.25,                   151625.00,500, ,       440.00,        79.50
N,SM,ASLIND,ASL INDUSTRIES LIMITED,        21.60,        23.75,        23.75,        21.00,        21.00,                 13075600.00,608000, ,        31.35,        21.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        74.80,        75.90,        76.50,        73.25,        73.65,                  7658240.00,102400, ,        86.30,        70.00
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       112.00,       112.00,       112.00,       108.55,       108.90,                  1491900.00,13500, ,       140.00,        74.00
N,SM,BETA,BETA DRUGS LIMITED,       800.00,       798.00,       800.00,       780.10,       794.50,                   952620.00,1200, ,       890.70,       580.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1200.00,      1201.00,      1201.00,      1172.00,      1199.70,                   893175.00,750, ,      1330.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       243.00,       243.00,       243.00,       232.25,       239.80,                  1815060.00,7600, ,      2325.00,       224.75
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         5.55,         5.55,         5.55,         5.30,         5.30,                   929400.00,174000, ,        10.00,         3.90
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       159.45,       161.40,       167.40,       152.70,       154.40,                 95517400.00,599000, ,      1602.40,       146.50
N,SM,CMNL,CHAMAN METALLICS LIMITED,        57.20,        56.30,        59.50,        56.30,        58.10,                 14065350.00,240000, ,        64.00,        40.10
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        20.05,        21.05,        21.05,        21.00,        21.00,                   350631.60,16665, ,        30.15,         6.80
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       518.70,       518.70,       518.70,       518.70,       518.70,                   129675.00,250, ,       625.70,       101.20
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       180.45,       182.00,       182.00,       177.10,       178.55,                  3445320.00,19200, ,       194.35,       170.00
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        66.00,        64.30,        64.30,        63.00,        64.00,                   766650.00,12000, ,        73.50,        33.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        37.00,        34.80,        37.95,        34.05,        37.05,                  4094200.00,112000, ,        41.50,        22.05
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       139.35,       142.00,       145.00,       140.00,       141.45,                  4311040.00,30400, ,       149.95,        99.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        62.65,        65.75,        65.75,        65.70,        65.75,                  1479125.00,22500, ,       455.00,        39.65
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,        37.70,        37.05,        37.95,        36.80,        37.40,                  2619100.00,70000, ,        38.20,        13.10
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       121.00,       121.00,       121.00,       117.65,       118.40,                   949800.00,8000, ,       144.30,        91.25
N,SM,FELIX,FELIX INDUSTRIES LTD.,        98.70,        93.85,        95.50,        93.80,        94.20,                  1034700.00,11000, ,       146.50,        12.40
N,SM,FIDEL,FIDEL SOFTECH LIMITED,        82.80,        85.70,        95.90,        84.65,        94.10,                 23705850.00,267000, ,        95.90,        51.70
N,SM,FOCE,FOCE INDIA LIMITED,       698.35,       715.00,       720.00,       664.00,       664.00,                  3719000.00,5200, ,       721.00,       262.05
N,SM,FROG,FROG CELLSAT LIMITED,       259.60,       259.60,       276.00,       251.00,       256.55,                 31506480.00,118400, ,       297.00,       137.25
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         7.60,         7.25,         7.25,         7.25,         7.25,                   130500.00,18000, ,       170.50,         6.40
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,        42.55,        40.30,        42.50,        40.30,        42.50,                   331200.00,8000, ,        49.00,        32.00
N,SM,GSTL,GLOBESECURE TECHNO LTD,        82.00,        80.25,        80.25,        77.90,        79.50,                  1499700.00,19000, ,       176.40,        55.00
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       415.00,       405.15,       415.00,       405.10,       410.00,                   613575.00,1500, ,       636.50,       350.55
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       268.85,       265.75,       287.95,       265.75,       284.50,                  7464050.00,27000, ,       307.00,       190.00
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,       340.00,       344.00,       344.00,       333.00,       333.00,                   404000.00,1200, ,       740.00,       250.00
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,        26.75,        26.25,        26.75,        26.00,        26.25,                   294000.00,11200, ,        69.50,        17.20
N,SM,JAINAM,JAINAM FER ALLOYS (I) LTD,       125.05,       124.20,       124.20,       124.00,       124.00,                   248200.00,2000, ,       198.50,       109.25
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,         8.35,         8.10,         8.45,         8.00,         8.45,                    99000.00,12000, ,        15.90,         6.95
N,SM,JETKNIT,JET KNITWEARS LTD.,        50.10,        52.60,        52.60,        51.75,        51.75,                  1338750.00,25500, ,        88.00,        50.05
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        40.50,        39.50,        40.00,        38.55,        40.00,                   315700.00,8000, ,        52.50,        30.10
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,       458.00,       458.00,       498.00,       442.00,       472.25,                 18075725.00,38000, ,       503.50,       127.00
N,SM,KCK,KCK INDUSTRIES LTD,        23.00,        21.00,        21.00,        21.00,        21.00,                    84000.00,4000, ,        31.70,        15.40
N,SM,KHFM,KHFM HOS FAC MANA SER LTD,        49.95,        47.55,        49.80,        47.55,        48.90,                   450585.00,9300, ,        57.20,        27.35
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       113.00,       114.80,       114.80,       113.00,       113.00,                   730400.00,6400, ,       197.00,        98.60
N,SM,KORE,JAY JALARAM TECHNO LTD,       179.00,       180.00,       180.00,       175.00,       175.00,                   709000.00,4000, ,       273.00,        50.00
N,SM,KOTYARK,KOTYARK INDUSTRIES LTD,       441.05,       441.15,       442.00,       437.60,       440.50,                  1234090.00,2800, ,       857.90,       242.00
N,SM,KRISHCA,KRISHCA STRAPPING SLTN L,       134.05,       131.65,       143.90,       131.65,       136.15,                 18221400.00,132000, ,       143.90,       119.00
N,SM,KRISHIVAL,KRISHIVAL FOODS LIMITED,       284.00,       272.20,       272.20,       269.80,       272.20,                   407100.00,1500, ,       316.65,       193.45
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,       183.75,       183.80,       183.80,       180.00,       180.00,                  2188100.00,12000, ,       205.00,        53.05
