MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        41.00,        41.30,        41.30,        41.30,        41.30,                    82600.00,2000, ,        60.00,        39.20
N,SM,ACSAL,ARVIND AND COMPANY,        54.85,        53.60,        54.80,        53.10,        53.30,                  3862500.00,72000, ,        84.00,        53.10
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        60.05,        60.40,        66.00,        60.40,        65.30,                  2841600.00,45000, ,        68.00,        30.00
N,SM,AGNI,AGNI GREEN POWER LTD,        25.50,        26.00,        26.50,        25.15,        25.40,                   897750.00,35000, ,        33.95,        17.90
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        27.00,        26.50,        26.50,        26.05,        26.05,                   315300.00,12000, ,        71.65,        26.05
N,SM,AISL,ANI INTEGRATED SERV LTD.,        59.10,        58.10,        61.55,        58.10,        61.55,                   143580.00,2400, ,        72.35,        39.25
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       253.00,       250.25,       255.50,       244.00,       246.50,                 10101720.00,40800, ,       281.80,        83.05
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       123.05,       120.00,       128.00,       120.00,       125.05,                   622650.00,5000, ,       175.50,        70.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        60.00,        61.00,        61.00,        58.45,        58.45,                   238900.00,4000, ,        69.60,        33.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       256.65,       255.15,       258.00,       251.00,       252.25,                  1624380.00,6400, ,       341.90,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       353.35,       355.10,       372.75,       350.40,       365.10,                 18071225.00,50000, ,       381.00,       124.00
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        97.80,        98.00,       100.45,        98.00,        98.70,                  4761600.00,48000, ,       124.65,        70.15
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       241.40,       242.00,       242.00,       235.00,       236.90,                  4965050.00,21000, ,       247.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       125.00,       123.00,       123.00,       123.00,       123.00,                    98400.00,800, ,       154.20,        91.25
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        69.00,        70.00,        71.55,        69.95,        71.15,                   906480.00,12800, ,       101.90,        48.25
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       310.45,       303.00,       322.90,       303.00,       318.50,                  3767975.00,12000, ,       349.55,        99.75
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        66.95,        67.40,        70.75,        67.40,        70.10,                  8721680.00,124800, ,        86.30,        55.15
N,SM,BABAFP,BABA FOOD PROCESSING,        66.05,        65.00,        75.00,        63.15,        72.35,                 19929120.00,288000, ,        80.70,        63.15
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       191.10,       190.05,       191.10,       190.05,       191.10,                   285862.50,1500, ,       233.85,        74.00
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       286.65,       286.50,       312.00,       285.50,       306.05,                110353740.00,368400, ,       334.00,       252.10
N,SM,BETA,BETA DRUGS LIMITED,      1189.00,      1199.00,      1315.00,      1199.00,      1311.15,                 28441205.00,22400, ,      1315.00,       600.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1485.00,      1500.00,      1500.00,      1490.00,      1491.50,                  1122875.00,750, ,      1789.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       118.50,       119.00,       120.50,       116.90,       118.15,                   807640.00,6800, ,      2017.00,       111.75
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         7.15,         7.40,         7.50,         7.30,         7.50,                  3837450.00,513000, ,        10.00,         4.65
N,SM,CADSYS,CADSYS (INDIA) LIMITED,       250.00,       259.80,       259.80,       253.00,       255.50,                  1022800.00,4000, ,       297.40,        32.50
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        47.25,        49.10,        51.85,        47.90,        49.60,                 85708800.00,1720000, ,        51.85,        36.80
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,       256.40,       252.00,       267.00,       249.00,       260.65,                 13459920.00,52800, ,       269.00,        88.15
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        41.95,        42.25,        42.90,        42.00,        42.25,                   812280.00,19200, ,        63.80,        41.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,        89.10,        87.65,        88.65,        85.50,        86.05,                 10101500.00,116000, ,       109.80,        77.00
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       114.95,       116.50,       117.00,       111.00,       113.10,                 82832050.00,728000, ,      1602.40,       105.35
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        41.00,        40.10,        40.75,        40.00,        40.75,                   564300.00,14000, ,        48.00,        36.55
N,SM,CMNL,CHAMAN METALLICS LIMITED,        64.15,        64.90,        64.90,        63.00,        63.35,                  2471700.00,39000, ,        84.00,        40.10
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       120.25,       126.25,       126.25,       126.25,       126.25,                   202000.00,1600, ,       286.00,       102.90
N,SM,COMMITTED,COMMITTED CARGO CARE LTD,        55.75,        56.50,        56.50,        55.00,        55.50,                  2234160.00,40000, ,        87.00,        55.00
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       493.65,       492.95,       492.95,       492.95,       492.95,                   246475.00,500, ,       639.90,       210.00
N,SM,CPS,C P S SHAPERS LIMITED,       445.00,       445.00,       455.00,       435.00,       443.50,                  3973890.00,9000, ,       495.00,       341.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,       174.75,       175.00,       176.75,       170.00,       173.25,                  9870600.00,57000, ,       181.95,       121.50
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       247.00,       247.00,       250.50,       237.25,       240.35,                  3346590.00,13800, ,       279.00,       170.00
