MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        37.80,        37.00,        37.50,        37.00,        37.50,                   556650.00,15000, ,        41.00,        30.00
N,SM,AGNI,AGNI GREEN POWER LTD,        20.70,        21.45,        21.70,        20.85,        20.85,                   645500.00,30000, ,        42.15,        17.00
N,SM,AGUL,A G UNIVERSAL LIMITED,        51.00,        48.75,        48.75,        48.75,        48.75,                    97500.00,2000, ,        56.00,        47.05
N,SM,AISL,ANI INTEGRATED SERV LTD.,        54.70,        57.35,        57.40,        55.00,        57.40,                   616920.00,10800, ,        58.25,        37.05
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       102.70,       102.75,       106.00,       102.75,       104.20,                  2175600.00,20800, ,       133.25,        83.05
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       135.50,       142.00,       142.25,       142.00,       142.25,                   568500.00,4000, ,       175.50,        70.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        39.55,        40.80,        40.90,        40.80,        40.90,                   326800.00,8000, ,        64.40,        33.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        86.00,        87.00,        87.00,        87.00,        87.00,                   139200.00,1600, ,       127.05,        70.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       203.95,       210.00,       229.95,       210.00,       227.55,                 20025420.00,91200, ,       229.95,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       248.00,       246.00,       257.90,       245.00,       255.90,                  4511550.00,18000, ,       277.50,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,        80.00,        78.00,        80.05,        77.10,        79.35,                  2367750.00,30000, ,        97.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       102.00,       100.00,       104.50,       100.00,       104.50,                   825520.00,8000, ,       152.50,        95.00
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        60.35,        60.35,        60.35,        60.35,        60.35,                   193120.00,3200, ,        83.00,        48.25
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       114.70,       120.40,       120.40,       120.40,       120.40,                   240800.00,2000, ,       160.85,        65.00
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       108.10,       105.00,       110.00,       105.00,       107.00,                  2269200.00,21000, ,       140.00,        74.00
N,SM,BETA,BETA DRUGS LIMITED,       766.35,       766.35,       782.00,       766.00,       773.50,                  3247520.00,4200, ,       930.00,       580.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1157.00,      1141.05,      1197.00,      1141.05,      1197.00,                  1752225.00,1500, ,      1330.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       287.65,       279.00,       279.00,       273.30,       273.30,                  1974120.00,7200, ,      2325.00,       273.30
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         4.90,         4.90,         5.00,         4.65,         4.75,                  2047650.00,432000, ,        10.00,         3.90
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        45.35,        47.60,        47.60,        47.60,        47.60,                   285600.00,6000, ,        48.30,        25.00
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       169.55,       170.00,       174.40,       161.10,       161.10,                 87076200.00,532000, ,      1602.40,       146.50
N,SM,CMNL,CHAMAN METALLICS LIMITED,        57.50,        56.50,        58.00,        55.30,        56.15,                  3751500.00,66000, ,        64.00,        40.10
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       130.65,       130.65,       130.65,       130.65,       130.65,                   104520.00,800, ,       343.85,       109.95
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        16.80,        17.60,        17.60,        17.60,        17.60,                    58660.80,3333, ,        30.15,         6.80
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       595.00,       590.00,       590.00,       588.00,       588.00,                   588500.00,1000, ,       625.70,        93.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       179.95,       181.75,       187.70,       175.15,       182.50,                  5253060.00,28800, ,       194.35,       170.00
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,        17.60,        16.90,        16.90,        16.90,        16.90,                   101400.00,6000, ,        24.60,        12.60
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        64.65,        67.75,        67.75,        67.75,        67.75,                   203250.00,3000, ,        73.50,        33.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        37.80,        37.00,        38.20,        37.00,        37.35,                   599800.00,16000, ,        41.50,        22.05
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       120.20,       120.00,       124.70,       120.00,       124.25,                  3520640.00,28800, ,       132.55,        99.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        42.60,        44.70,        44.70,        44.70,        44.70,                   111750.00,2500, ,       455.00,        39.65
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,        25.10,        26.35,        26.35,        25.55,        26.20,                  1623700.00,62000, ,        26.35,        13.00
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       384.30,       385.30,       390.00,       385.30,       390.00,                   465180.00,1200, ,       390.00,       180.60
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       124.00,       122.00,       124.00,       122.00,       122.00,                  1723150.00,14000, ,       144.30,        91.25
