MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        46.10,        44.20,        45.00,        44.10,        44.45,                  1070300.00,24000, ,        60.00,        43.05
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        94.20,       103.60,       103.60,        97.00,        97.00,                  2045200.00,20000, ,       103.60,        40.00
N,SM,ABINFRA,A B INFRABUILD LIMITED,        28.90,        30.00,        30.00,        30.00,        30.00,                   240000.00,8000, ,        43.00,        11.85
N,SM,ACCORD,ACCORD SYNERGY LIMITED,        26.60,        26.60,        26.60,        26.60,        26.60,                    53200.00,2000, ,        34.35,        21.50
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        43.30,        43.00,        44.70,        43.00,        44.70,                   392100.00,9000, ,        51.00,        30.00
N,SM,AGNI,AGNI GREEN POWER LTD,        26.30,        24.20,        28.90,        24.20,        28.90,                  2893750.00,105000, ,        33.95,        17.90
N,SM,AGUL,A G UNIVERSAL LIMITED,        65.00,        64.05,        64.05,        64.00,        64.00,                   256100.00,4000, ,        84.95,        32.50
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       172.75,       174.80,       174.80,       166.05,       168.30,                 11149280.00,65600, ,       193.50,        83.05
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        49.70,        50.00,        51.95,        50.00,        50.25,                   608800.00,12000, ,        69.60,        33.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       282.00,       280.00,       282.00,       275.00,       279.65,                 11448450.00,41000, ,       358.00,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       101.20,       107.00,       121.40,       101.00,       120.85,                 28627500.00,246000, ,       135.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       125.00,       123.00,       125.00,       123.00,       123.00,                   993280.00,8000, ,       154.20,        91.25
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        75.30,        75.00,        77.90,        72.35,        77.45,                  1079040.00,14400, ,       101.90,        48.25
N,SM,ASLIND,ASL INDUSTRIES LIMITED,        25.00,        26.25,        26.25,        26.25,        26.25,                   105000.00,4000, ,        30.25,        16.65
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       211.50,       229.00,       232.00,       223.65,       225.00,                  3627850.00,16000, ,       273.35,        99.75
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        67.45,        63.50,        64.45,        63.40,        64.45,                   612640.00,9600, ,        86.30,        55.15
N,SM,AVSL,AVSL INDUSTRIES LIMITED,       113.15,       124.45,       124.45,       124.45,       124.45,                   124450.00,1000, ,       154.05,        85.00
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       178.00,       175.00,       187.00,       172.00,       186.00,                 16455450.00,90000, ,       190.00,        74.00
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       289.80,       283.00,       283.00,       270.00,       275.80,                 20565420.00,74400, ,       313.00,       252.10
N,SM,BETA,BETA DRUGS LIMITED,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                  1010000.00,1000, ,      1111.00,       600.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1640.00,      1570.00,      1595.00,      1570.00,      1591.00,                  3174037.50,2000, ,      1789.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       123.85,       123.90,       124.00,       111.75,       115.50,                  5509340.00,47600, ,      2325.00,       111.75
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         5.30,         5.40,         5.45,         4.80,         5.10,                   965100.00,189000, ,        10.00,         4.50
N,SM,CADSYS,CADSYS (INDIA) LIMITED,       219.45,       241.35,       241.35,       231.50,       241.35,                 21839400.00,92000, ,       241.35,        28.80
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        50.05,        50.00,        50.00,        48.25,        48.30,                  1404120.00,28800, ,        63.80,        41.00
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       159.70,       159.00,       160.00,       154.90,       159.65,                 29980600.00,190000, ,      1602.40,       129.15
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        41.95,        40.40,        41.00,        36.55,        39.20,                  1806700.00,46000, ,        48.00,        36.55
N,SM,CMNL,CHAMAN METALLICS LIMITED,        66.20,        65.80,        67.00,        65.05,        66.05,                  2984400.00,45000, ,        84.00,        40.10
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       124.20,       124.80,       124.80,       124.40,       124.60,                   498400.00,4000, ,       343.85,       109.95
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       501.00,       506.80,       518.40,       506.80,       518.40,                  1143200.00,2250, ,       639.90,       167.50
N,SM,CPS,C P S SHAPERS LIMITED,       442.00,       445.00,       445.00,       421.00,       421.00,                  2602050.00,6000, ,       495.00,       400.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,       146.60,       146.00,       149.75,       145.10,       146.55,                  7709400.00,52000, ,       180.35,       121.50
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       234.65,       234.90,       235.00,       234.90,       235.00,                  1127880.00,4800, ,       279.00,       170.00
N,SM,DENTALKART,VASA DENTICITY LIMITED,       432.65,       430.90,       430.90,       427.00,       427.00,                  2144350.00,5000, ,       553.90,       237.00
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        41.85,        42.05,        42.05,        39.00,        39.10,                   817000.00,20000, ,        50.40,        22.05
N,SM,DRONE,DRONE DESTINATION LIMITED,       131.75,       130.00,       130.00,       126.00,       127.45,                  6610900.00,52000, ,       156.00,       112.20
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       172.00,       180.00,       180.00,       160.00,       160.00,                  2638000.00,16000, ,       209.00,        99.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        57.85,        53.10,        61.90,        52.10,        59.30,                  1367875.00,25000, ,       302.00,        39.65
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       119.45,       113.50,       113.50,       113.50,       113.50,                   454000.00,4000, ,       164.75,        15.00
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       132.05,       131.00,       131.80,       130.00,       130.85,                  3760560.00,28800, ,       161.00,       124.05
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       136.85,       136.70,       142.00,       136.70,       140.20,                  1656200.00,12000, ,       163.75,       104.00
N,SM,FELIX,FELIX INDUSTRIES LTD.,       112.00,       108.55,       108.55,       104.90,       104.90,                   856400.00,8000, ,       146.50,        33.15
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       117.00,       116.00,       120.00,       116.00,       120.00,                  1778850.00,15000, ,       130.00,        59.10
N,SM,FOCE,FOCE INDIA LIMITED,       770.00,       779.00,       779.50,       779.00,       779.15,                  2337500.00,3000, ,       895.00,       383.00
N,SM,FROG,FROG CELLSAT LIMITED,       230.05,       229.00,       232.95,       228.00,       232.95,                  2216240.00,9600, ,       311.55,       137.25
N,SM,GICL,GLOBE INTL CARRIERS LTD,        55.65,        58.20,        58.40,        58.20,        58.40,                  1751400.00,30000, ,        71.00,        33.75
N,SM,GLOBALPET,GLOBAL PET INDUSTRIES LTD,        75.00,        76.00,        77.20,        74.10,        74.90,                  3193200.00,42000, ,        97.00,        60.00
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,        15.95,        16.70,        16.70,        15.95,        16.70,                 39958875.00,2407500, ,       170.50,         4.50
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,       108.05,       109.45,       109.50,       105.05,       106.00,                  3277760.00,30400, ,       153.00,        95.00
N,SM,GSTL,GLOBESECURE TECHNO LTD,        96.15,        99.50,        99.50,        99.50,        99.50,                    99500.00,1000, ,       147.50,        75.20
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       437.75,       401.00,       450.00,       401.00,       450.00,                   379800.00,900, ,       636.50,       350.55
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       261.00,       247.95,       247.95,       247.95,       247.95,                  2975400.00,12000, ,       551.00,       190.00
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       188.50,       188.50,       188.50,       183.00,       184.00,                  1492000.00,8000, ,       220.00,       162.20
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,       565.00,       558.00,       558.00,       555.00,       556.00,                  2225200.00,4000, ,       799.95,       250.00
N,SM,INNOVATIVE,INNOVATIVE TYRES & TUBES,         6.10,         6.15,         6.40,         6.15,         6.40,                   435450.00,69000, ,         8.80,         2.70
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,        31.60,        32.00,        33.00,        32.00,        33.00,                   104000.00,3200, ,        67.25,        17.20
N,SM,JAINAM,JAINAM FER ALLOYS (I) LTD,       135.80,       131.00,       131.00,       130.05,       130.05,                   261050.00,2000, ,       198.50,       100.65
