MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        49.05,        49.10,        51.25,        48.50,        49.10,                  3486200.00,70000, ,        53.50,        44.10
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        56.00,        58.00,        67.20,        58.00,        67.20,                  7849400.00,124000, ,        67.20,        36.10
N,SM,ABINFRA,A B INFRABUILD LIMITED,        34.95,        33.20,        33.25,        33.20,        33.20,                  2257800.00,68000,XO,        43.00,        11.85
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        37.00,        36.60,        37.45,        36.50,        36.60,                   441450.00,12000, ,        41.00,        30.00
N,SM,AGUL,A G UNIVERSAL LIMITED,        49.00,        49.00,        49.00,        49.00,        49.00,                   196000.00,4000, ,        60.00,        32.50
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        32.50,        32.95,        32.95,        32.95,        32.95,                   197700.00,6000, ,        71.65,        26.45
N,SM,AISL,ANI INTEGRATED SERV LTD.,        51.45,        54.00,        54.00,        54.00,        54.00,                    64800.00,1200, ,        66.75,        39.25
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       118.75,       118.50,       120.65,       117.50,       118.00,                  4004960.00,33600, ,       133.25,        83.05
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        42.20,        43.50,        44.30,        43.50,        44.30,                  1053800.00,24000, ,        64.40,        33.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       270.55,       262.00,       266.00,       251.05,       258.50,                  3715260.00,14400, ,       309.95,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       340.00,       342.00,       353.00,       341.90,       350.30,                 33924300.00,98000, ,       353.00,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       106.50,       107.00,       109.30,       105.00,       105.00,                  1914900.00,18000, ,       121.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       142.50,       143.00,       144.75,       142.00,       143.35,                   916400.00,6400, ,       154.20,        91.25
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        71.35,        69.10,        72.05,        67.60,        70.00,                   667200.00,9600, ,        83.00,        48.25
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       232.75,       209.50,       224.95,       209.50,       209.50,                 45299050.00,215000, ,       273.35,        99.75
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        65.30,        65.10,        67.50,        64.30,        67.20,                  2329600.00,35200, ,        86.30,        55.15
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       125.20,       133.00,       133.00,       123.55,       126.15,                  5960850.00,46500, ,       140.00,        74.00
N,SM,BETA,BETA DRUGS LIMITED,       914.15,       935.00,       995.00,       935.00,       987.85,                 24179650.00,24800, ,       995.00,       600.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1370.50,      1380.00,      1380.00,      1330.00,      1358.35,                  4728000.00,3500, ,      1440.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       185.00,       185.00,       185.00,       178.00,       185.00,                   723200.00,4000,XD,      2325.00,       143.80
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         4.80,         4.80,         4.85,         4.75,         4.85,                   288600.00,60000, ,        10.00,         4.15
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        50.90,        51.00,        51.70,        50.40,        51.10,                  1593240.00,31200, ,        63.80,        41.00
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       175.90,       176.85,       181.50,       169.80,       172.05,                 30014050.00,173000, ,      1602.40,       129.15
N,SM,CMNL,CHAMAN METALLICS LIMITED,        56.30,        57.55,        58.50,        55.00,        56.30,                 10829100.00,192000, ,        75.50,        40.10
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       138.50,       144.80,       145.40,       140.00,       145.40,                  1037760.00,7200, ,       343.85,       109.95
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        29.80,        28.35,        29.50,        28.35,        29.50,                   964070.25,33330, ,        30.90,         6.95
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       510.50,       535.00,       561.55,       515.00,       552.70,                  8363700.00,15500, ,       625.70,       135.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,       149.00,       149.50,       150.00,       148.00,       148.35,                  5653300.00,38000, ,       180.35,       121.50
