MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        41.55,        42.95,        42.95,        42.00,        42.75,                  1194100.00,28000, ,        60.00,        39.20
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,       111.10,       116.65,       116.65,       116.65,       116.65,                   233300.00,2000, ,       136.40,        40.00
N,SM,ACSAL,ARVIND AND COMPANY,        53.50,        55.00,        55.80,        54.50,        55.80,                  1982400.00,36000, ,        84.00,        53.10
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        60.00,        59.05,        60.00,        58.00,        60.00,                  1056150.00,18000, ,        68.00,        30.00
N,SM,AGNI,AGNI GREEN POWER LTD,        25.40,        24.50,        25.60,        23.80,        24.90,                  1481500.00,60000, ,        33.95,        17.90
N,SM,AISL,ANI INTEGRATED SERV LTD.,        59.30,        59.80,        59.80,        59.80,        59.80,                    71760.00,1200, ,        72.35,        39.25
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       252.45,       254.00,       254.85,       245.20,       248.10,                  8373040.00,33600, ,       281.80,        83.05
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       125.05,       125.00,       125.10,       125.00,       125.10,                   250100.00,2000, ,       175.50,        70.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        58.50,        60.45,        60.45,        57.60,        57.60,                   937000.00,16000, ,        69.60,        33.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        80.00,        80.00,        80.00,        79.95,        79.95,                   511840.00,6400, ,       105.00,        69.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       255.00,       252.05,       255.00,       236.00,       249.85,                  3956380.00,16000, ,       341.90,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       365.80,       365.85,       371.85,       358.10,       364.05,                 10763200.00,29500, ,       381.00,       124.00
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        96.80,        96.00,       106.45,        96.00,       106.45,                 15037400.00,146000, ,       124.65,        70.15
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       223.00,       221.00,       226.55,       210.95,       224.65,                  5388650.00,25000, ,       247.00,        43.75
