MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        38.30,        38.90,        39.45,        38.90,        39.20,                   703050.00,18000, ,        41.00,        30.00
N,SM,AGNI,AGNI GREEN POWER LTD,        20.00,        19.15,        19.60,        19.00,        19.00,                  2118000.00,110000, ,        42.15,        17.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        41.50,        39.65,        39.65,        39.45,        39.45,                  1067100.00,27000, ,        54.65,        19.70
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,        91.80,        93.00,        93.75,        92.05,        92.30,                  2673760.00,28800, ,       133.25,        89.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        35.60,        39.50,        39.50,        35.45,        36.00,                  2510200.00,68000, ,        64.40,        33.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        73.35,        73.00,        74.95,        73.00,        74.95,                   596480.00,8000, ,       127.05,        70.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       161.00,       165.70,       165.70,       161.00,       161.00,                  1971420.00,12000, ,       218.90,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       184.95,       180.05,       183.85,       179.00,       181.30,                  9052350.00,50000, ,       192.00,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,        50.00,        50.05,        50.10,        50.00,        50.00,                   750750.00,15000, ,        79.80,        48.05
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       100.05,       100.00,       104.95,       100.00,       100.10,                   809680.00,8000, ,       152.50,        95.00
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        56.10,        53.50,        54.15,        53.50,        54.00,                   345040.00,6400, ,        83.00,        53.00
N,SM,ASCOM,ASCOM LEASIN & INVEST LTD,       305.00,       289.75,       306.00,       289.75,       306.00,                   893625.00,3000, ,       440.00,        33.40
N,SM,ASLIND,ASL INDUSTRIES LIMITED,        27.35,        26.00,        26.00,        26.00,        26.00,                   624000.00,24000, ,        41.50,        23.25
N,SM,ATALREAL,ATAL REALTECH LIMITED,        83.15,        83.00,        86.65,        82.00,        84.50,                 28095840.00,336000, ,       181.00,        50.00
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       116.00,       112.70,       112.70,       112.00,       112.00,                  2242700.00,20000, ,       160.85,        65.00
N,SM,BAHETI,BAHETI RECYCLING IND LTD,        88.00,        86.25,        86.25,        86.20,        86.20,                   517350.00,6000, ,       140.00,        74.00
N,SM,BETA,BETA DRUGS LIMITED,       628.10,       628.10,       630.00,       617.45,       630.00,                  2496620.00,4000, ,      1024.40,       527.05
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       665.00,       645.00,       680.00,       645.00,       660.00,                  1335000.00,2000, ,      1007.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       351.55,       334.00,       369.10,       334.00,       369.10,                  3335400.00,9600, ,      2325.00,       334.00
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         6.00,         6.00,         6.00,         5.90,         5.90,                   231300.00,39000, ,        10.00,         3.90
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       757.90,       754.00,       754.00,       720.00,       720.00,                 32355775.00,44500, ,      1602.40,       146.50
N,SM,CMNL,CHAMAN METALLICS LIMITED,        44.45,        44.00,        44.45,        41.60,        41.65,                  3451350.00,81000, ,        64.00,        40.70
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       152.00,       152.50,       152.50,       142.00,       142.00,                  2724800.00,18400, ,       343.85,       126.00
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       515.00,       510.00,       519.00,       505.00,       505.00,                   383500.00,750, ,       548.00,        41.50
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        48.25,        47.30,        55.50,        47.30,        55.50,                   308400.00,6000, ,        73.50,        33.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        27.20,        27.50,        27.50,        27.50,        27.50,                   110000.00,4000, ,        41.50,        23.45
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       109.50,       116.80,       116.80,       109.50,       109.50,                  3582560.00,32000, ,       122.00,        99.00
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,        18.05,        18.80,        18.90,        17.75,        18.90,                   255800.00,14000, ,        21.40,        13.00
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       108.10,       108.20,       108.20,       108.20,       108.20,                   216400.00,2000, ,       147.65,        91.25
N,SM,FOCE,FOCE INDIA LIMITED,       481.00,       433.00,       433.00,       428.00,       429.50,                  1550460.00,3600, ,       721.00,       201.50
N,SM,FROG,FROG CELLSAT LIMITED,       159.25,       159.25,       159.90,       156.05,       157.15,                  2020780.00,12800, ,       297.00,       152.15
N,SM,GICL,GLOBE INTL CARRIERS LTD,        39.25,        38.25,        38.25,        38.25,        38.25,                   803250.00,21000, ,       104.00,        22.20
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,        10.75,        10.25,        10.25,        10.25,        10.25,                   184500.00,18000, ,       170.50,         9.45
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,        38.30,        35.50,        38.00,        35.50,        37.50,                   595800.00,16000, ,        43.05,        32.00
N,SM,GSTL,GLOBESECURE TECHNO LTD,       127.10,       128.80,       128.80,       121.55,       125.00,                  1999300.00,16000, ,       176.40,        55.00
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       405.15,       400.05,       414.50,       400.05,       414.50,                   980730.00,2400, ,       636.50,       350.55
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,       626.75,       658.00,       658.00,       658.00,       658.00,                   526400.00,800, ,       740.00,       250.00
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,        20.25,        19.70,        20.00,        19.70,        19.80,                   316960.00,16000, ,        69.50,        19.70
N,SM,JAINAM,JAINAM FER ALLOYS (I) LTD,       135.15,       141.90,       141.90,       141.85,       141.90,                   993200.00,7000, ,       218.60,       109.25
N,SM,JAKHARIA,JAKHARIA FABRIC LIMITED,        60.60,        60.00,        60.00,        60.00,        60.00,                  1200000.00,20000, ,       159.90,        58.00
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,         7.45,         7.60,         8.15,         7.55,         8.05,                   213000.00,27000, ,        15.90,         7.20
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        33.00,        32.60,        32.60,        32.50,        32.55,                   520700.00,16000, ,        52.50,        30.10
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,       272.50,       277.50,       279.00,       277.00,       277.00,                  1111500.00,4000, ,       330.90,       127.00
N,SM,KANDARP,KANDARP DG SMART BPO LTD,        18.70,        16.40,        16.40,        16.40,        16.40,                    65600.00,4000, ,        26.55,        13.80
N,SM,KCK,KCK INDUSTRIES LTD,        16.20,        16.50,        16.50,        16.50,        16.50,                    66000.00,4000, ,        31.70,        15.40
N,SM,KHFM,KHFM HOS FAC MANA SER LTD,        32.00,        33.20,        33.40,        33.20,        33.40,                   309690.00,9300, ,        57.20,        32.00
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       116.85,       116.05,       117.00,       114.60,       114.60,                  4643920.00,40000, ,       261.00,       100.20
N,SM,KORE,JAY JALARAM TECHNO LTD,       184.45,       188.00,       193.65,       188.00,       193.65,                  1539500.00,8000, ,       273.00,        50.00
N,SM,KOTYARK,KOTYARK INDUSTRIES LTD,       319.80,       331.95,       331.95,       306.05,       313.95,                  5307110.00,16600, ,       857.90,       242.00
N,SM,KRISHIVAL,EMPYREAN CASHEWS LIMITED,       306.50,       309.95,       309.95,       292.00,       300.95,                   601950.00,2000, ,       321.65,        68.00
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,       138.00,       137.95,       143.40,       137.95,       141.00,                  1835200.00,13000, ,       187.00,        53.05
N,SM,LEMERITE,LE MERITE EXPORTS LIMITED,        45.10,        46.00,        46.80,        44.95,        45.00,                  2705600.00,59200, ,        83.95,        43.00
N,SM,LRRPL,LEAD REC AND RUB PROD LTD,        31.95,        32.00,        32.00,        32.00,        32.00,                   192000.00,6000, ,        44.00,        29.35
N,SM,MADHAVBAUG,VAIDYA SANE AYUR LAB LTD,       229.35,       230.00,       234.00,       230.00,       232.70,                  1488760.00,6400, ,       249.40,       128.95
N,SM,MAHICKRA,MAHICKRA CHEMICAL LIMITED,        95.30,        95.10,        95.10,        95.10,        95.10,                   142650.00,1500, ,       102.00,        57.00
N,SM,MANAV,MANAV INFRA PROJECTS LTD,        10.80,        11.30,        11.30,        11.30,        11.30,                    90400.00,8000, ,        11.30,         5.65
N,SM,MEGAFLEX,MEGA FLEX PLASTICS LTD,        31.50,        30.75,        31.50,        30.70,        31.50,                   467850.00,15000, ,        58.70,        30.00
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,        52.45,        45.55,        51.75,        45.55,        51.05,                  1357800.00,27000, ,        59.70,        23.05
N,SM,MILTON,MILTON INDUSTRIES LIMITED,        21.30,        21.35,        21.35,        21.35,        21.35,                    93940.00,4400, ,        30.50,        14.85
N,SM,MOXSH,MOXSH OVERSEAS EDUCON LTD,        82.50,        79.00,        79.00,        79.00,        79.00,                   126400.00,1600, ,       132.85,        68.05
