MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        45.65,        45.70,        45.70,        44.45,        44.70,                   627100.00,14000, ,        60.00,        43.05
N,SM,ABINFRA,A B INFRABUILD LIMITED,        27.55,        28.90,        28.90,        28.90,        28.90,                   115600.00,4000, ,        43.00,        11.85
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        45.00,        45.00,        45.00,        43.00,        43.00,                   264000.00,6000, ,        51.00,        30.00
N,SM,AGUL,A G UNIVERSAL LIMITED,        60.00,        61.00,        61.00,        61.00,        61.00,                   122000.00,2000, ,        84.95,        32.50
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        28.65,        29.95,        30.05,        29.95,        30.05,                   360000.00,12000, ,        71.65,        28.25
N,SM,AISL,ANI INTEGRATED SERV LTD.,        65.00,        62.00,        62.00,        61.75,        61.80,                   296700.00,4800, ,        72.35,        39.25
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       170.70,       170.70,       173.00,       164.75,       167.00,                  7531760.00,44800, ,       193.50,        83.05
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       109.35,       114.80,       114.80,       114.80,       114.80,                   459200.00,4000, ,       175.50,        70.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        50.00,        51.00,        52.95,        50.00,        50.00,                  2427200.00,48000, ,        69.60,        33.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        86.00,        84.00,        84.00,        84.00,        84.00,                   134400.00,1600, ,       127.05,        70.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       308.00,       300.00,       301.00,       300.00,       301.00,                  1441200.00,4800, ,       341.90,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       272.85,       274.20,       275.00,       269.40,       273.90,                 25350500.00,93000, ,       358.00,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       108.75,       101.25,       101.30,       100.05,       101.00,                  2121150.00,21000, ,       135.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       128.20,       126.20,       126.20,       115.00,       117.00,                   769920.00,6400, ,       154.20,        91.25
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        77.15,        74.10,        78.00,        74.10,        78.00,                   603360.00,8000, ,       101.90,        48.25
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       199.90,       200.00,       207.95,       200.00,       204.95,                  1215900.00,6000, ,       273.35,        99.75
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        64.00,        63.00,        63.00,        62.95,        62.95,                   201520.00,3200, ,        86.30,        55.15
N,SM,AVSL,AVSL INDUSTRIES LIMITED,        98.10,       102.80,       102.80,       102.80,       102.80,                   102800.00,1000, ,       154.05,        85.00
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       161.95,       169.90,       172.80,       161.05,       165.20,                 11022750.00,66000, ,       172.80,        74.00
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       271.30,       272.00,       302.40,       271.35,       292.85,                126302820.00,435600, ,       313.00,       252.10
N,SM,BETA,BETA DRUGS LIMITED,      1000.35,      1000.00,      1000.00,       982.00,       985.70,                  1783180.00,1800, ,      1111.00,       600.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1694.95,      1694.95,      1694.95,      1614.00,      1619.50,                  3686687.50,2250, ,      1789.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       130.00,       129.90,       129.90,       125.00,       126.30,                  1062400.00,8400, ,      2325.00,       120.65
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         5.30,         5.40,         5.50,         5.10,         5.25,                   623400.00,117000, ,        10.00,         4.50
N,SM,CADSYS,CADSYS (INDIA) LIMITED,       189.60,       199.00,       199.05,       199.00,       199.05,                  3184700.00,16000, ,       219.00,        28.80
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        50.50,        50.85,        50.85,        50.00,        50.10,                  1809480.00,36000, ,        63.80,        41.00
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       156.75,       162.20,       163.45,       154.55,       156.10,                 59029100.00,370000, ,      1602.40,       129.15
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        41.00,        44.45,        44.45,        41.00,        41.00,                   833500.00,20000, ,        48.00,        40.40
N,SM,CMNL,CHAMAN METALLICS LIMITED,        65.55,        66.65,        66.70,        64.50,        64.50,                  1962450.00,30000, ,        84.00,        40.10
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       120.65,       115.60,       125.00,       115.60,       125.00,                   384480.00,3200, ,       343.85,       109.95
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       505.75,       500.00,       506.00,       500.00,       505.45,                  1135875.00,2250, ,       639.90,       167.50
N,SM,CPS,C P S SHAPERS LIMITED,       450.00,       450.00,       455.00,       440.00,       445.00,                  1344000.00,3000, ,       495.00,       400.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,       150.85,       150.00,       150.00,       146.30,       147.55,                  3272300.00,22000, ,       180.35,       121.50
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       243.00,       232.00,       234.00,       232.00,       232.00,                   837600.00,3600, ,       279.00,       170.00
N,SM,DENTALKART,VASA DENTICITY LIMITED,       439.00,       433.00,       433.00,       420.00,       426.50,                  7262750.00,17000, ,       553.90,       237.00
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,        53.70,        56.35,        56.35,        51.05,        53.15,                  6681900.00,126000, ,        56.35,        12.60
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        87.95,        89.90,        89.90,        88.75,        88.75,                   535950.00,6000, ,       104.70,        45.05
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        41.00,        40.00,        41.00,        39.20,        40.00,                  1437000.00,36000, ,        50.40,        22.05
N,SM,DRONE,DRONE DESTINATION LIMITED,       134.65,       135.90,       135.90,       127.00,       128.35,                  8273200.00,64000, ,       156.00,       112.20
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       174.00,       174.00,       174.00,       173.90,       173.90,                   834880.00,4800, ,       209.00,        99.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        50.00,        49.75,        52.50,        49.75,        52.50,                  1036875.00,20000, ,       302.00,        39.65
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       139.25,       132.30,       132.30,       132.30,       132.30,                  1852200.00,14000, ,       164.75,        15.00
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       501.00,       510.00,       510.00,       510.00,       510.00,                   306000.00,600, ,       600.00,       247.05
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       128.20,       129.25,       130.50,       127.00,       130.05,                 22189620.00,172800, ,       161.00,       124.05
