MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        51.75,        53.35,        54.35,        53.00,        53.80,                 11492100.00,214000, ,        54.35,        44.10
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        89.35,        93.80,        93.80,        93.80,        93.80,                  1500800.00,16000, ,        93.80,        36.10
N,SM,AGNI,AGNI GREEN POWER LTD,        27.60,        28.80,        28.95,        27.75,        28.90,                  3448500.00,120000, ,        42.15,        17.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        31.30,        30.00,        31.50,        30.00,        30.70,                   732900.00,24000, ,        71.65,        28.25
N,SM,AISL,ANI INTEGRATED SERV LTD.,        56.50,        54.55,        54.55,        54.55,        54.55,                    65460.00,1200, ,        66.75,        39.25
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       121.70,       122.10,       123.00,       121.30,       121.75,                  2932240.00,24000, ,       133.25,        83.05
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       134.40,       140.80,       141.00,       140.80,       141.00,                   563600.00,4000, ,       175.50,        70.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        54.00,        54.00,        57.75,        53.50,        57.75,                  2645000.00,48000, ,        64.40,        33.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        76.95,        74.00,        74.00,        74.00,        74.00,                   118400.00,1600, ,       127.05,        70.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       255.20,       247.10,       259.85,       243.00,       254.90,                  3003540.00,12000, ,       309.95,       131.05
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       343.25,       331.00,       340.40,       330.00,       336.75,                 11445450.00,34000, ,       358.00,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       125.75,       125.60,       125.60,       120.00,       123.00,                  3331800.00,27000, ,       135.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       140.10,       143.00,       152.00,       142.00,       150.75,                  5656320.00,38400, ,       154.20,        91.25
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        75.00,        80.50,        80.85,        73.95,        76.65,                  9485440.00,121600, ,        83.00,        48.25
N,SM,ASLIND,ASL INDUSTRIES LIMITED,        20.00,        19.00,        19.00,        19.00,        19.00,                  9348000.00,492000, ,        31.35,        16.65
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       207.65,       215.95,       218.00,       215.50,       218.00,                  2826000.00,13000, ,       273.35,        99.75
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        69.15,        72.95,        73.90,        69.90,        73.10,                  7742400.00,107200, ,        86.30,        55.15
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       155.25,       165.00,       165.00,       152.30,       155.50,                 24530475.00,151500, ,       165.00,        74.00
N,SM,BETA,BETA DRUGS LIMITED,       914.00,       920.00,       950.00,       900.00,       944.00,                  8072710.00,8800, ,       998.00,       600.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1382.00,      1380.00,      1400.50,      1371.00,      1400.00,                  2785600.00,2000, ,      1440.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       191.55,       188.50,       188.50,       180.00,       181.25,                  3086900.00,16800, ,      2325.00,       143.80
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         4.80,         4.85,         4.85,         4.75,         4.80,                   547950.00,114000, ,        10.00,         4.15
N,SM,CADSYS,CADSYS (INDIA) LIMITED,       133.65,       140.30,       140.30,       134.15,       139.70,                  8883300.00,64000, ,       143.05,        28.80
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        50.20,        50.95,        51.00,        50.40,        50.95,                  1584840.00,31200, ,        63.80,        41.00
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       157.60,       158.15,       165.00,       157.35,       158.90,                 47526550.00,296000, ,      1602.40,       129.15
