MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        49.55,        49.55,        50.20,        48.60,        48.60,                   887200.00,18000, ,        53.50,        44.10
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        50.40,        52.20,        56.70,        52.20,        55.15,                  2663600.00,48000, ,        56.70,        36.10
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        37.00,        37.50,        37.50,        37.00,        37.00,                   334500.00,9000, ,        41.00,        30.00
N,SM,AGNI,AGNI GREEN POWER LTD,        23.05,        23.20,        23.20,        22.00,        23.20,                   342000.00,15000, ,        42.15,        17.00
N,SM,AGUL,A G UNIVERSAL LIMITED,        50.00,        46.50,        49.00,        46.50,        49.00,                   284000.00,6000, ,        60.00,        32.50
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        32.00,        32.95,        32.95,        32.95,        32.95,                   197700.00,6000, ,        71.65,        26.45
N,SM,AISL,ANI INTEGRATED SERV LTD.,        48.65,        49.00,        49.00,        49.00,        49.00,                    58800.00,1200, ,        66.75,        39.25
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       118.90,       117.25,       117.80,       115.85,       117.80,                  3915760.00,33600, ,       133.25,        83.05
N,SM,AMBANIORG,AMBANI ORGANICS LIMITED,       119.90,       125.85,       125.85,       125.85,       125.85,                   251700.00,2000, ,       175.50,        70.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        41.50,        42.90,        43.00,        42.90,        43.00,                   858800.00,20000, ,        64.40,        33.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        78.50,        78.70,        78.70,        78.70,        78.70,                   125920.00,1600, ,       127.05,        70.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       340.65,       340.00,       342.00,       320.50,       322.35,                 18363700.00,55000, ,       342.00,       124.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       106.50,       100.05,       106.40,       100.05,       102.90,                  3366150.00,33000, ,       121.00,        43.75
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       145.00,       145.00,       147.00,       143.00,       145.80,                  1861920.00,12800, ,       154.20,        91.25
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,        70.80,        73.45,        73.50,        69.00,        71.25,                   919280.00,12800, ,        83.00,        48.25
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       261.65,       248.15,       260.00,       240.00,       258.60,                  8798550.00,35000, ,       273.35,        99.75
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        68.05,        68.05,        68.05,        64.35,        66.30,                  1270400.00,19200, ,        86.30,        55.15
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       111.00,       110.00,       110.00,       110.00,       110.00,                   330000.00,3000, ,       140.00,        74.00
N,SM,BETA,BETA DRUGS LIMITED,       828.15,       828.15,       832.00,       811.15,       829.40,                  4625030.00,5600, ,       861.00,       600.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,      1350.00,      1270.05,      1375.00,      1270.05,      1375.00,                  4416262.50,3250, ,      1440.00,       560.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,       183.00,       189.00,       189.00,       174.00,       181.00,                   648040.00,3600, ,      2325.00,       143.80
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         4.80,         4.80,         4.90,         4.75,         4.85,                   617100.00,129000, ,        10.00,         4.15
N,SM,CADSYS,CADSYS (INDIA) LIMITED,       105.00,       110.00,       110.00,       110.00,       110.00,                   220000.00,2000, ,       143.05,        28.00
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        50.30,        51.50,        51.50,        49.20,        49.75,                  1320420.00,26400, ,        63.80,        41.00
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       162.00,       162.95,       177.00,       162.50,       172.80,                 81669150.00,483000, ,      1602.40,       129.15
N,SM,CMNL,CHAMAN METALLICS LIMITED,        59.60,        59.00,        59.10,        56.75,        58.00,                  9360750.00,162000, ,        75.50,        40.10
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       126.00,       132.25,       132.25,       129.00,       132.00,                   734800.00,5600, ,       343.85,       109.95
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        30.05,        30.30,        30.30,        28.55,        30.00,                   493617.30,16665, ,        30.90,         6.95
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       510.00,       519.00,       519.00,       519.00,       519.00,                   129750.00,250, ,       625.70,       135.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,       150.25,       150.25,       150.30,       148.00,       149.35,                  9257400.00,62000, ,       180.35,       121.50
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       247.00,       223.00,       245.50,       223.00,       245.50,                  1132200.00,4800, ,       261.45,       170.00
N,SM,DENTALKART,VASA DENTICITY LIMITED,       461.90,       471.50,       476.00,       453.15,       467.70,                 12994200.00,28000, ,       490.00,       237.00
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        98.00,        85.00,        99.00,        85.00,        99.00,                  2014800.00,21000, ,       104.70,        33.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        46.90,        46.85,        46.95,        44.50,        45.50,                  2377400.00,52000, ,        50.40,        22.05
N,SM,DRONE,DRONE DESTINATION LIMITED,       140.00,       141.50,       144.00,       134.00,       136.00,                 35430600.00,254000, ,       156.00,       125.00
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       179.30,       180.05,       180.05,       172.00,       176.25,                  6735040.00,38400, ,       209.00,        99.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        50.10,        47.65,        48.90,        47.65,        48.45,                   719625.00,15000, ,       302.00,        39.65
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,        56.45,        56.45,        58.00,        55.00,        55.40,                  5555400.00,98000, ,        58.00,        15.00
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       146.30,       145.80,       147.30,       142.20,       146.85,                 17534580.00,121200, ,       160.00,       126.00
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       153.35,       153.00,       155.90,       150.00,       150.10,                  7194800.00,47000, ,       163.75,        95.00
N,SM,FELIX,FELIX INDUSTRIES LTD.,       101.00,       101.00,       101.00,        95.05,        95.05,                   296050.00,3000, ,       146.50,        15.40
N,SM,FIDEL,FIDEL SOFTECH LIMITED,        89.05,        90.00,        92.00,        90.00,        90.00,                   816000.00,9000, ,       104.65,        53.90
N,SM,FOCE,FOCE INDIA LIMITED,       845.00,       761.00,       824.50,       761.00,       824.50,                  8542300.00,10400, ,       864.50,       321.00
N,SM,FROG,FROG CELLSAT LIMITED,       267.90,       265.00,       265.00,       233.00,       239.60,                 22608020.00,91600, ,       311.55,       137.25
N,SM,GICL,GLOBE INTL CARRIERS LTD,        42.00,        42.10,        42.50,        42.10,        42.30,                  1907550.00,45000, ,        74.40,        33.75
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       541.30,       568.35,       568.35,       568.35,       568.35,                   682020.00,1200, ,       568.35,       104.70
N,SM,GLOBALPET,GLOBAL PET INDUSTRIES LTD,        68.30,        68.30,        69.35,        67.00,        67.70,                  5359350.00,78000, ,        73.00,        60.00
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         5.45,         4.55,         4.55,         4.50,         4.55,                   920250.00,202500, ,       170.50,         4.50
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,       104.05,       103.00,       104.95,       100.20,       103.15,                 14039440.00,137600, ,       119.85,        95.00
N,SM,GSTL,GLOBESECURE TECHNO LTD,       127.90,       127.80,       134.50,       124.00,       127.00,                  3195800.00,25000, ,       176.40,        75.20
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       404.65,       404.00,       406.00,       404.00,       406.00,                   364200.00,900, ,       636.50,       350.55
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       439.70,       460.50,       461.65,       450.25,       460.55,                  6411350.00,14000, ,       471.95,       190.00
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       181.00,       175.00,       182.00,       162.20,       175.25,                  6113840.00,35200, ,       215.00,       162.20
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,       506.40,       550.00,       607.65,       550.00,       607.65,                 19631020.00,32800, ,       740.00,       250.00
N,SM,INNOVATIVE,INNOVATIVE TYRES & TUBES,         2.60,         2.70,         2.70,         2.70,         2.70,                     8100.00,3000, ,        20.45,         2.70
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,        26.15,        26.15,        27.00,        26.15,        27.00,                    85040.00,3200, ,        69.50,        17.20
N,SM,JAINAM,JAINAM FER ALLOYS (I) LTD,       117.25,       117.15,       117.15,       117.10,       117.10,                   351350.00,3000, ,       198.50,       100.65
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,         7.00,         7.10,         7.15,         7.00,         7.00,                   190650.00,27000, ,        15.90,         5.75
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        50.95,        51.10,        51.10,        47.50,        48.25,                   977300.00,20000, ,        55.85,        30.10
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,      1016.65,      1031.00,      1118.30,      1021.00,      1118.30,                 63019850.00,59500, ,      1118.30,       140.00
N,SM,KANDARP,KANDARP DG SMART BPO LTD,        18.15,        17.00,        17.00,        15.50,        17.00,                   401200.00,24000, ,        26.55,        13.80
N,SM,KCK,KCK INDUSTRIES LTD,        23.00,        24.00,        24.00,        23.05,        23.05,                   188200.00,8000, ,        30.50,        15.40
N,SM,KDL,KORE DIGITAL LIMITED,       229.15,       228.00,       236.00,       213.10,       231.45,                  7534440.00,33600, ,       261.95,       123.25
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       140.10,       142.00,       147.00,       139.10,       145.90,                 10851200.00,75200, ,       197.00,        98.60
N,SM,KORE,JAY JALARAM TECHNO LTD,       360.00,       356.00,       384.50,       356.00,       377.00,                  5602500.00,15000, ,       384.50,        50.00
N,SM,KOTYARK,KOTYARK INDUSTRIES LTD,       574.50,       535.50,       610.00,       535.50,       576.35,                 11057670.00,18600, ,       857.90,       261.75
N,SM,KRISHCA,KRISHCA STRAPPING SLTN L,       219.40,       228.10,       256.00,       228.10,       253.45,                 60732400.00,246000, ,       256.00,       119.00
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,       215.00,       220.00,       226.80,       218.00,       220.65,                  9979650.00,45000, ,       226.80,        78.05
N,SM,LEMERITE,LE MERITE EXPORTS LIMITED,        47.50,        46.10,        46.20,        45.95,        46.00,                   294960.00,6400, ,        83.95,        37.80
N,SM,LLOYDS,LLOYDS LUXURIES LIMITED,       116.30,       122.10,       122.10,       122.10,       122.10,                  5860800.00,48000, ,       122.10,        40.00
N,SM,LRRPL,LEAD REC AND RUB PROD LTD,        52.00,        52.00,        53.80,        51.50,        51.50,                  1266300.00,24000, ,        72.35,        28.90
N,SM,MADHAVBAUG,VAIDYA SANE AYUR LAB LTD,       315.00,       316.75,       318.00,       316.70,       318.00,                  2791720.00,8800, ,       342.00,       128.95
N,SM,MAGSON,MAGSON RETAIL AND DIST L,        80.20,        78.30,        81.40,        78.20,        81.00,                  2738400.00,34000, ,        93.95,        77.60
N,SM,MAHICKRA,MAHICKRA CHEMICAL LIMITED,        83.85,        82.50,        83.75,        82.50,        83.60,                   625425.00,7500, ,       105.00,        64.90
N,SM,MAKS,MAKS ENERGY SOL INDIA LTD,        35.40,        37.15,        37.15,        37.15,        37.15,                   668700.00,18000, ,        55.30,        20.25
N,SM,MCON,MCON RASAYAN INDIA LTD,       174.00,       171.50,       171.50,       171.50,       171.50,                   514500.00,3000, ,       174.95,        62.50
N,SM,MDL,MARVEL DECOR LIMITED,        43.00,        43.15,        44.25,        43.15,        43.15,                   522100.00,12000, ,        48.00,        29.00
N,SM,MEGAFLEX,MEGA FLEX PLASTICS LTD,        39.80,        40.75,        40.75,        39.15,        39.80,                  1566300.00,39000, ,        58.70,        27.00
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,        61.95,        61.95,        63.45,        61.95,        62.55,                  1309650.00,21000, ,        73.00,        29.55
N,SM,MILTON,MILTON INDUSTRIES LIMITED,        22.90,        22.95,        22.95,        22.95,        22.95,                   100980.00,4400, ,        30.50,        19.35
N,SM,MINDPOOL,MINDPOOL TECHNOLOGIES LTD,        88.00,        87.50,        87.50,        83.70,        83.90,                   255100.00,3000, ,       114.35,        28.15
