MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAATECH,AAA TECHNOLOGIES LIMITED,       135.00,       132.10,       134.00,       127.10,       132.75,                  4743000.00,36000, ,       139.00,        44.50
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        40.00,        38.00,        41.00,        38.00,        39.65,                   940000.00,24000, ,        61.35,        34.15
N,SM,AGNI,AGNI GREEN POWER LTD,        40.15,        42.15,        42.15,        38.15,        38.15,                 21573500.00,540000, ,        42.15,        17.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        34.55,        32.85,        32.85,        32.85,        32.85,                   197100.00,6000, ,        36.90,        19.15
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         9.10,         9.55,         9.55,         9.55,         9.55,                   687600.00,72000, ,         9.55,         5.05
N,SM,ASLIND,ASL INDUSTRIES LIMITED,        28.45,        28.45,        28.45,        27.05,        27.05,                   655800.00,24000, ,        48.75,        17.50
N,SM,ATALREAL,ATAL REALTECH LIMITED,        66.70,        68.00,        68.00,        63.20,        68.00,                  2878560.00,43200, ,       188.40,        62.05
N,SM,AVG,AVG LOGISTICS LIMITED,        62.85,        65.95,        65.95,        65.95,        65.95,                   158280.00,2400, ,        85.00,        51.10
N,SM,BBTCL,B&B TRIPLEWALL CONT LTD,       275.00,       270.00,       270.00,       260.00,       261.65,                  1055000.00,4000, ,       307.00,        89.00
N,SM,BETA,BETA DRUGS LIMITED,       788.50,       785.05,       799.00,       785.05,       799.00,                  3491540.00,4400, ,      1024.40,       339.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       930.00,       910.00,       925.00,       910.00,       920.00,                  1150000.00,1250, ,      1187.20,       228.15
N,SM,BMETRICS,BOMBAY METRICS S C LTD,      1085.00,      1030.75,      1139.00,      1030.75,      1139.00,                  2603700.00,2400, ,      1139.00,       117.90
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         5.25,         5.05,         5.40,         5.05,         5.25,                   377850.00,72000, ,        10.55,         3.90
N,SM,BTML,BODHI TREE MULTIMEDIA LTD,       210.00,       220.00,       220.50,       220.00,       220.50,                   528600.00,2400, ,       220.50,        70.00
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        39.65,        38.05,        38.05,        38.00,        38.00,                   152100.00,4000, ,        52.00,        20.00
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,        11.95,        11.60,        11.65,        11.40,        11.45,                  1575750.00,138000, ,        18.90,         8.20
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       177.25,       180.00,       180.00,       180.00,       180.00,                   270000.00,1500, ,       201.30,        41.50
N,SM,DCI,DC INFOTECH AND COMUN LTD,        49.60,        47.25,        47.25,        47.25,        47.25,                   283500.00,6000, ,       100.00,        35.95
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        47.00,        45.50,        45.60,        45.50,        45.60,                   273300.00,6000, ,        72.60,        33.25
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,        16.75,        16.80,        17.30,        16.80,        16.80,                   442200.00,26000, ,        57.70,        13.00
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       280.00,       293.90,       294.00,       293.90,       294.00,                   529140.00,1800, ,       341.65,       145.05
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       121.20,       119.80,       119.80,       115.00,       115.80,                  3746100.00,32000, ,       147.65,        72.05
N,SM,FELIX,FELIX INDUSTRIES LTD.,        15.50,        16.25,        16.25,        16.25,        16.25,                    65000.00,4000, ,        45.70,        12.35
N,SM,FIDEL,FIDEL SOFTECH LIMITED,        80.50,        78.00,        79.00,        76.35,        76.65,                  3957450.00,51000, ,        95.00,        51.70
