MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAATECH,AAA TECHNOLOGIES LIMITED,        94.35,        92.00,        93.00,        88.05,        93.00,                  2474100.00,27000, ,       146.00,        47.15
N,SM,AGNI,AGNI GREEN POWER LTD,        34.80,        33.90,        34.30,        33.10,        33.10,                  4347000.00,130000, ,        42.15,        17.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        34.55,        36.20,        36.20,        33.05,        33.05,                   207750.00,6000, ,        36.90,        19.15
N,SM,AISL,ANI INTEGRATED SERV LTD.,        49.70,        52.15,        52.15,        51.30,        52.05,                   249120.00,4800, ,        72.45,        31.55
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,        13.30,        13.95,        13.95,        13.95,        13.95,                  3794400.00,272000, ,        13.95,         5.05
N,SM,ASLIND,ASL INDUSTRIES LIMITED,        26.00,        26.05,        26.05,        26.05,        26.05,                   104200.00,4000, ,        48.75,        17.50
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       121.00,       118.00,       118.00,       118.00,       118.00,                   236000.00,2000, ,       132.55,        63.05
N,SM,AVG,AVG LOGISTICS LIMITED,        87.85,        92.00,        92.00,        92.00,        92.00,                   883200.00,9600, ,        92.00,        51.10
N,SM,BBTCL,B&B TRIPLEWALL CONT LTD,       326.75,       320.00,       320.00,       298.00,       298.00,                  3634000.00,12000, ,       345.00,        94.95
N,SM,BETA,BETA DRUGS LIMITED,       795.30,       780.00,       794.90,       780.00,       794.00,                   950360.00,1200, ,      1024.40,       351.20
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       881.15,       866.35,       866.35,       866.35,       866.35,                   216587.50,250, ,      1187.20,       228.15
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         5.65,         5.70,         5.70,         5.45,         5.45,                   498900.00,90000, ,        10.55,         3.90
N,SM,BTML,BODHI TREE MULTIMEDIA LTD,       280.50,       280.00,       280.00,       267.00,       267.00,                  1989600.00,7200, ,       285.00,        74.00
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        35.40,        33.65,        33.65,        33.65,        33.65,                    67300.00,2000, ,        52.00,        22.00
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,        13.05,        13.00,        13.25,        12.40,        12.40,                  1746750.00,138000, ,        18.80,         8.20
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        11.10,        11.65,        11.65,        10.55,        10.55,                   438456.15,39996, ,        13.75,         6.10
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       185.15,       185.00,       185.15,       184.00,       185.15,                   831225.00,4500,XO,       201.30,        41.50
N,SM,DCI,DC INFOTECH AND COMUN LTD,        58.50,        56.00,        56.00,        56.00,        56.00,                   336000.00,6000, ,       100.00,        35.95
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,        18.35,        19.00,        19.00,        17.50,        17.50,                   438000.00,24000, ,        20.85,         8.05
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        53.00,        51.05,        53.00,        51.05,        52.50,                   469650.00,9000, ,        72.60,        33.25
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,        17.70,        17.15,        17.15,        16.95,        16.95,                   136700.00,8000, ,        57.70,        13.00
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       327.90,       344.20,       344.20,       327.00,       327.00,                   402720.00,1200, ,       345.15,       145.05
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       120.00,       120.00,       120.00,       118.00,       118.00,                  1898200.00,16000, ,       147.65,        72.05
N,SM,FELIX,FELIX INDUSTRIES LTD.,        18.75,        19.65,        19.65,        19.65,        19.65,                   157200.00,8000, ,        45.70,        12.35
N,SM,FIDEL,FIDEL SOFTECH LIMITED,        72.35,        71.50,        71.50,        68.05,        69.20,                  2717250.00,39000, ,        95.00,        51.70
N,SM,FOCE,FOCE INDIA LIMITED,       421.00,       390.00,       430.00,       390.00,       423.60,                   996450.00,2400, ,       430.00,       185.10
N,SM,GSTL,GLOBESECURE TECHNO LTD,       116.00,       118.00,       118.00,       118.00,       118.00,                   472000.00,4000, ,       176.40,        55.00
N,SM,JAINAM,JAINAM FER ALLOYS (I) LTD,       177.85,       169.00,       169.00,       169.00,       169.00,                  1690000.00,10000, ,       218.60,        69.70
N,SM,JAKHARIA,JAKHARIA FABRIC LIMITED,       149.00,       149.00,       149.00,       149.00,       149.00,                 14184800.00,95200, ,       177.95,       120.50
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,         9.50,         9.05,         9.45,         9.05,         9.25,                    83250.00,9000, ,        18.00,         7.75
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       182.50,       182.50,       182.50,       176.00,       178.40,                  6062080.00,33600, ,       261.00,       130.00
