MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAATECH,AAA TECHNOLOGIES LIMITED,        69.30,        67.50,        70.50,        67.50,        70.50,                   621000.00,9000, ,       146.00,        55.50
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        47.00,        47.00,        47.00,        47.00,        47.00,                   188000.00,4000, ,        61.35,        34.15
N,SM,AGNI,AGNI GREEN POWER LTD,        23.70,        24.60,        24.85,        24.60,        24.85,                   990000.00,40000, ,        42.15,        17.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        54.90,        57.00,        64.00,        57.00,        63.10,                 13841200.00,224000, ,        64.40,        47.50
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       138.25,       140.00,       162.00,       140.00,       157.80,                 41680000.00,274000, ,       172.95,       126.10
N,SM,ASCOM,ASCOM LEASIN & INVEST LTD,        83.45,        87.60,        87.60,        87.60,        87.60,                   175200.00,2000, ,        87.60,        33.40
N,SM,ATALREAL,ATAL REALTECH LIMITED,        60.50,        61.45,        63.50,        60.60,        62.00,                  7648080.00,124800, ,       182.90,        50.00
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       157.75,       149.90,       149.90,       149.90,       149.90,                  1798800.00,12000, ,       160.85,        65.00
N,SM,AVG,AVG LOGISTICS LIMITED,       118.60,       124.45,       124.45,       124.45,       124.45,                   149340.00,1200, ,       147.35,        51.10
N,SM,BBTCL,B&B TRIPLEWALL CONT LTD,       265.00,       255.00,       260.00,       255.00,       260.00,                  1295000.00,5000, ,       345.00,        95.00
N,SM,BETA,BETA DRUGS LIMITED,       723.45,       720.00,       734.00,       720.00,       734.00,                  1020400.00,1400, ,      1024.40,       465.30
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       815.00,       810.00,       829.95,       810.00,       828.00,                  2464712.50,3000, ,      1187.20,       260.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,      2241.00,      2299.00,      2325.00,      2220.00,      2225.00,                  2274610.00,1000, ,      2325.00,       120.05
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         5.00,         5.20,         5.20,         4.80,         5.00,                   148050.00,30000, ,        10.55,         3.90
N,SM,BTML,BODHI TREE MULTIMEDIA LTD,        62.90,        62.90,        62.90,        62.90,        62.90,                  1887000.00,30000, ,       324.45,        54.00
