MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAATECH,AAA TECHNOLOGIES LIMITED,        93.00,        92.00,        92.00,        84.50,        89.45,                  2800125.00,31500, ,       146.00,        48.00
N,SM,ABINFRA,A B INFRABUILD LIMITED,        15.30,        16.05,        16.05,        16.05,        16.05,                    64200.00,4000, ,        18.75,         5.80
N,SM,AGNI,AGNI GREEN POWER LTD,        33.10,        32.00,        33.00,        31.45,        31.55,                  7302500.00,230000,XO,        42.15,        17.00
N,SM,AISL,ANI INTEGRATED SERV LTD.,        52.05,        54.45,        54.45,        54.45,        54.45,                    65340.00,1200, ,        72.45,        35.25
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,        13.95,        14.60,        14.60,        14.60,        14.60,                   116800.00,8000, ,        14.60,         5.05
N,SM,AVG,AVG LOGISTICS LIMITED,        92.00,        96.60,        96.60,        90.05,        96.60,                  1495980.00,15600, ,        96.60,        51.10
N,SM,AVSL,AVSL INDUSTRIES LIMITED,        82.40,        86.50,        86.50,        86.50,        86.50,                   259500.00,3000, ,        86.50,        33.70
N,SM,BBTCL,B&B TRIPLEWALL CONT LTD,       298.00,       319.00,       319.00,       298.00,       298.00,                   617000.00,2000, ,       345.00,        95.00
N,SM,BETA,BETA DRUGS LIMITED,       794.00,       799.00,       801.00,       772.00,       790.00,                  3139700.00,4000, ,      1024.40,       380.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       866.35,       889.95,       890.00,       889.95,       890.00,                   444987.50,500, ,      1187.20,       228.15
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         5.45,         5.40,         5.55,         5.30,         5.35,                   178800.00,33000, ,        10.55,         3.90
N,SM,BTML,BODHI TREE MULTIMEDIA LTD,       267.00,       280.00,       280.35,       279.95,       280.35,                  1681200.00,6000, ,       285.00,        95.45
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        33.65,        33.00,        33.00,        33.00,        33.00,                    66000.00,2000, ,        52.00,        22.00
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,        12.40,        12.60,        12.60,        11.80,        11.90,                  1107900.00,93000, ,        18.80,         8.20
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        10.55,        11.00,        11.00,        10.20,        10.20,                    70659.60,6666, ,        13.75,         6.10
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       185.15,       183.00,       183.00,       181.00,       181.00,                   546000.00,3000, ,       201.30,        41.50
