MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,        45.55,        45.55,        45.55,        45.55,        45.55,                   182200.00,4000, ,        61.35,        34.15
N,SM,ACCORD,ACCORD SYNERGY LIMITED,        32.00,        33.50,        33.50,        33.50,        33.50,                    67000.00,2000, ,        37.30,        14.95
N,SM,AGNI,AGNI GREEN POWER LTD,        24.60,        24.60,        25.80,        24.60,        25.80,                  1527500.00,60000, ,        42.15,        17.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        28.50,        29.90,        29.90,        29.90,        29.90,                   179400.00,6000, ,        36.90,        19.15
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        54.50,        52.50,        52.50,        52.00,        52.00,                   834400.00,16000, ,        64.40,        47.50
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       147.00,       144.10,       144.10,       140.00,       140.65,                  8513200.00,60000, ,       172.95,       126.10
N,SM,ASCOM,ASCOM LEASIN & INVEST LTD,        87.60,        91.95,        91.95,        91.95,        91.95,                   183900.00,2000, ,        91.95,        33.40
N,SM,ATALREAL,ATAL REALTECH LIMITED,        63.90,        62.10,        64.70,        62.10,        63.75,                 11230080.00,177600, ,       182.90,        50.00
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       142.35,       135.25,       135.25,       135.25,       135.25,                   270500.00,2000, ,       160.85,        65.00
N,SM,BBTCL,B&B TRIPLEWALL CONT LTD,       240.00,       240.00,       240.00,       239.00,       239.95,                  3835950.00,16000, ,       345.00,       120.35
N,SM,BETA,BETA DRUGS LIMITED,       742.00,       742.00,       742.00,       725.10,       725.10,                   583480.00,800, ,      1024.40,       465.30
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       800.00,       799.90,       800.00,       790.00,       790.00,                   597475.00,750, ,      1187.20,       360.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,      2131.80,      2053.60,      2060.00,      2053.55,      2053.55,                  1233430.00,600, ,      2325.00,       120.05
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         6.30,         5.70,         5.70,         5.70,         5.70,                   444600.00,78000, ,        10.55,         3.90
N,SM,BTML,BODHI TREE MULTIMEDIA LTD,        55.10,        57.00,        57.85,        57.00,        57.85,                  2062200.00,36000, ,       324.45,        53.15
N,SM,CLOUD,VARANIUM CLOUD LIMITED,       493.35,       518.00,       518.00,       512.00,       518.00,                 50724750.00,98000, ,       518.00,       146.50
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,         7.00,         7.00,         7.00,         6.65,         6.65,                   242550.00,36000, ,        14.80,         6.65
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,       249.00,       226.05,       234.20,       226.05,       234.20,                   368200.00,1600, ,       343.85,       216.40
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        10.50,        10.00,        10.95,        10.00,        10.80,                   349298.40,33330, ,        13.75,         6.60
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       210.00,       210.00,       218.00,       210.00,       216.35,                   803625.00,3750, ,       220.00,        41.50
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        47.10,        46.10,        49.90,        46.10,        48.35,                  1015800.00,21000, ,        72.60,        33.25
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,       279.90,       279.95,       282.40,       279.95,       282.40,                  2280125.00,8125, ,       489.00,        91.00
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       120.00,       118.00,       122.00,       113.00,       113.95,                  2086500.00,18000, ,       147.65,        72.05
N,SM,FELIX,FELIX INDUSTRIES LTD.,        60.25,        63.25,        63.25,        63.25,        63.25,                   253000.00,4000, ,        63.25,        12.35
N,SM,FIDEL,FIDEL SOFTECH LIMITED,        64.15,        65.00,        66.70,        64.00,        66.70,                  3284250.00,51000, ,        95.00,        51.70
N,SM,FROG,FROG CELLSAT LIMITED,       246.95,       247.80,       247.80,       235.10,       240.90,                  6378960.00,26400, ,       297.00,       215.85
N,SM,GICL,GLOBE INTL CARRIERS LTD,        43.20,        41.50,        42.00,        41.05,        42.00,                  9686250.00,231000, ,       104.00,        17.15
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       191.80,       200.00,       201.00,       182.25,       201.00,                  1421040.00,7200, ,       211.80,        71.25
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,        67.25,        70.45,        70.60,        70.45,        70.60,                  1269000.00,18000, ,        70.60,        21.50
N,SM,GRETEX,GRETEX INDUSTRIES LTD.,        13.65,        14.30,        14.30,        14.30,        14.30,                    85800.00,6000, ,        14.30,        10.65
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,       383.25,       365.25,       402.40,       365.00,       402.40,                  1937050.00,5000, ,       478.00,       175.45
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,        51.50,        50.25,        60.00,        50.00,        53.00,                  8796640.00,150400, ,        69.50,        47.00
N,SM,JAINAM,JAINAM FER ALLOYS (I) LTD,       179.00,       178.95,       179.00,       178.95,       179.00,                   715900.00,4000, ,       218.60,        82.00
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,         9.95,        10.10,        10.20,        10.10,        10.20,                   577200.00,57000, ,        18.00,         7.20
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        42.00,        41.00,        41.00,        40.00,        40.00,                   162000.00,4000, ,        52.50,        38.10
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,       259.50,       270.00,       271.95,       233.55,       235.20,                 22199000.00,91000, ,       271.95,       127.00
N,SM,KANDARP,KANDARP DG SMART BPO LTD,        17.00,        15.85,        15.85,        15.85,        15.85,                    63400.00,4000, ,        19.40,        14.05
N,SM,KHFM,KHFM HOS FAC MANA SER LTD,        50.00,        47.50,        50.00,        47.50,        50.00,                   449500.00,9300, ,        72.00,        36.10
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       146.90,       150.70,       150.70,       147.50,       148.35,                  2141200.00,14400, ,       261.00,       130.00
N,SM,KORE,JAY JALARAM TECHNO LTD,       199.25,       195.00,       195.00,       189.30,       189.30,                  6292200.00,33000, ,       210.00,        50.00
N,SM,KOTYARK,KOTYARK INDUSTRIES LTD,       451.65,       450.00,       465.00,       439.90,       455.85,                  4917780.00,11000, ,       857.90,        77.45
N,SM,KRISHIVAL,EMPYREAN CASHEWS LIMITED,       295.00,       280.25,       280.25,       280.25,       280.25,                   280250.00,1000, ,       321.65,        68.00
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,       114.45,       116.80,       119.15,       114.00,       114.15,                  8440050.00,72000, ,       128.90,        53.05
N,SM,LATTEYS,LATTEYS INDUSTRIES LTD,        50.10,        52.60,        52.60,        52.60,        52.60,                   526000.00,10000, ,        92.20,        28.80
N,SM,LEMERITE,LE MERITE EXPORTS LIMITED,        64.55,        65.00,        66.00,        64.50,        64.50,                   832880.00,12800, ,        83.95,        52.50
N,SM,LEXUS,LEXUS GRANITO (INDIA) LTD,        69.90,        67.00,        67.00,        66.45,        66.45,                   199950.00,3000, ,       100.30,        14.00
N,SM,LLOYDS,LLOYDS LUXURIES LIMITED,        48.85,        49.45,        49.45,        48.50,        49.10,                   879750.00,18000, ,        59.90,        45.60
N,SM,MADHAVBAUG,VAIDYA SANE AYUR LAB LTD,       140.25,       140.25,       143.95,       140.25,       142.10,                   454720.00,3200, ,       249.40,       128.95
N,SM,MAKS,MAKS ENERGY SOL INDIA LTD,        48.75,        46.35,        46.35,        46.35,        46.35,                  1112400.00,24000, ,        55.30,        20.25
N,SM,MANAV,MANAV INFRA PROJECTS LTD,         6.70,         6.70,         6.70,         6.70,         6.70,                   107200.00,16000, ,         8.40,         5.65
N,SM,MEGAFLEX,MEGA FLEX PLASTICS LTD,        41.20,        41.35,        41.35,        41.20,        41.25,                   494850.00,12000, ,        58.70,        41.15
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,        41.40,        40.05,        40.45,        39.70,        40.45,                   600600.00,15000, ,        47.95,        22.55
N,SM,MINDPOOL,MINDPOOL TECHNOLOGIES LTD,        34.20,        35.90,        35.90,        35.90,        35.90,                   143600.00,4000, ,        35.90,        20.15
N,SM,MKPL,M K PROTEINS LIMITED,      1739.00,      1750.00,      1799.00,      1740.00,      1799.00,                  7914000.00,4500, ,      1799.00,       119.15
N,SM,MWL,MANGALAM WORLDWIDE LTD,       106.00,       111.45,       111.45,       111.45,       111.45,                   133740.00,1200, ,       124.50,       103.00
N,SM,NIDAN,NIDAN LABS AND HEALTH LTD,        53.40,        53.15,        54.95,        53.10,        53.35,                   376800.00,7000, ,        76.55,        31.60
N,SM,NPST,NETWORK PEOPLE SRV TECH L,       105.00,       106.00,       107.50,       106.00,       107.50,                   341600.00,3200, ,       132.30,        49.05
N,SM,NRL,NUPUR RECYCLERS LIMITED,       286.90,       279.10,       314.40,       279.10,       310.50,                 79538910.00,266750, ,       367.50,       124.20
N,SM,OSIAHYPER,OSIA HYPER RETAIL LTD,       291.00,       319.00,       319.00,       319.00,       319.00,                   204160.00,640, ,       397.00,       159.00
N,SM,OSWALSEEDS,SHREEOSWAL S AND CHE LTD,       218.45,       210.00,       228.40,       207.55,       228.30,                 31468500.00,144000, ,       235.00,        41.00
N,SM,PARTYCRUS,PARTY CRUISERS LIMITED,       245.50,       233.25,       233.30,       233.25,       233.25,                  4665100.00,20000, ,       353.90,        28.00
N,SM,PASHUPATI,PASHUPATI COTSPIN LIMITED,       120.00,       122.00,       122.00,       122.00,       122.00,                   390400.00,3200, ,       170.00,        77.00
N,SM,PHANTOMFX,PHANTOM DIGITAL EFF LTD,       264.60,       266.00,       266.00,       258.00,       262.80,                  9756240.00,37200, ,       296.80,       248.00
N,SM,PIGL,POWER INSTRUMENT (G) LTD,        44.20,        46.40,        46.40,        46.40,        46.40,                   371200.00,8000, ,        68.40,        37.75
N,SM,PRECISION,PRECISION METALIKS LTD,        31.10,        31.50,        31.90,        31.50,        31.90,                   316600.00,10000, ,        55.95,        23.65
