MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAATECH,AAA TECHNOLOGIES LIMITED,        42.40,        42.40,        42.50,        42.25,        42.25,                  2420700.00,57000, ,        51.00,        42.00
N,SM,AIROLAM,AIRO LAM LIMITED,        22.70,        20.40,        22.70,        20.40,        22.70,                   129300.00,6000, ,        36.00,        17.35
N,SM,AISL,ANI INTEGRATED SERV LTD.,        39.05,        40.95,        40.95,        37.20,        39.85,                   790980.00,20400, ,        41.40,        14.30
N,SM,AJOONI,AJOONI BIOTECH LIMITED,        31.50,        31.50,        31.50,        31.05,        31.50,                  3774067.00,119988, ,        36.50,         6.35
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         9.10,         9.40,         9.40,         9.40,         9.40,                    75200.00,8000, ,        14.40,         5.85
N,SM,AVROIND,AVRO INDIA LIMITED,        38.00,        37.00,        37.00,        37.00,        37.00,                    74000.00,2000, ,        51.00,        35.00
N,SM,BETA,BETA DRUGS LIMITED,       121.50,       122.50,       127.55,       121.50,       125.10,                  1092680.00,8800, ,       140.80,        42.55
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,        11.35,        10.35,        11.95,        10.35,        10.50,                   130050.00,12000, ,        15.55,         4.70
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,         6.70,         6.70,         6.70,         6.70,         6.70,                    40200.00,6000, ,         6.70,         2.25
N,SM,EIFFL,EURO (I) FRESH FOODS LTD,        73.20,        74.00,        76.85,        74.00,        76.85,                   120680.00,1600, ,       129.40,        64.80
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       125.00,       119.00,       119.00,       119.00,       119.00,                    71400.00,600, ,       130.00,        58.65
N,SM,GANGAFORGE,GANGA FORGING LIMITED,        42.10,        42.50,        43.60,        42.50,        43.45,                  2068400.00,48000, ,        43.60,         9.50
N,SM,GICL,GLOBE INTL CARRIERS LTD,        19.40,        20.30,        20.30,        20.30,        20.30,                   152250.00,7500, ,        23.80,        16.90
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,       115.15,       120.90,       120.90,       120.90,       120.90,                   120900.00,1000, ,       125.00,        70.25
N,SM,INNOVATIVE,INNOVATIVE TYRES & TUBES,         7.35,         7.00,         7.70,         7.00,         7.50,                   110100.00,15000, ,        10.35,         5.60
N,SM,KSOLVES,KSOLVES INDIA LIMITED,       752.00,       755.00,       755.00,       755.00,       755.00,                   226500.00,300, ,       755.00,       102.05
N,SM,LAGNAM,LAGNAM SPINTEX LIMITED,        14.70,        15.00,        15.00,        15.00,        15.00,                    45000.00,3000, ,        19.65,         6.60
